concentration,k(c)
0.085926031,-0.0026336834
0.071048654,-0.0026364326
0.060858766,-0.0026391596
0.055140338,-0.0026426986
0.05943605,-0.002573371
0.052146544,-0.0025756508
0.047038858,-0.0025785863
0.044866557,-0.002511777
0.040929906,-0.0025140867
0.039813696,-0.0024491996
0.142714353,-0.0028074905
0.118839463,-0.0028026924
0.100255479,-0.0027950332
0.083069098,-0.0027856156
0.142714353,-0.00275255
0.106392402,-0.0027446374
0.083629974,-0.0027341917
0.117339152,-0.0026946962
0.084005939,-0.0026836395
0.051186838,-0.0028370395
0.049878135,-0.0027626678
0.045736979,-0.0026734546
0.038518016,-0.0025709495
0.049367395,-0.0027098209
0.044572773,-0.0026397556
0.039075126,-0.0025532618
0.046147235,-0.0025705472
0.040973559,-0.0025051609
0.044213316,-0.0024203062
0.045089931,-0.0028561652
0.033941618,-0.0027638301
0.021777741,-0.002656065
0.020556879,-0.0025367513
0.046044341,-0.0027620867
0.03459588,-0.0026687607
0.024614825,-0.0025598481
0.042799027,-0.002666995
0.033254164,-0.0025728121
0.062107197,-0.0024241433
0.062107197,-0.0024679527
0.043272648,-0.0025057718
0.045175706,-0.0025557503
0.037065682,-0.0025956705
0.023338567,-0.0026291534
0.02694625,-0.0026847273
0.022251595,-0.0027204156
0.015840899,-0.0028106943
0.022247985,-0.0026667118
0.02359895,-0.0025650486
0.028266077,-0.0024619028
0.034148001,-0.0023574457
0.030246081,-0.0025862902
0.044227797,-0.0024786964
0.034148001,-0.002369456
0.053418958,-0.0025054812
0.069103647,-0.002391912
0.047701209,-0.0022288412
0.049828082,-0.0022964925
0.039921901,-0.00237111
0.034526634,-0.0023282394
0.035383612,-0.002394095
0.034815799,-0.0024668872
0.023215958,-0.002426885
0.026503166,-0.002490662
0.023879945,-0.0025246814
0.012801384,-0.0024526939
0.013275033,-0.002345547
0.014555353,-0.002235584
0.016681132,-0.0021231398
0.016082812,-0.0023587644
0.016213278,-0.002240315
0.014041773,-0.0021182671
0.028328952,-0.0022856742
0.035658002,-0.0021580532
0.035163167,-0.0022975653
0.019543766,-0.002186723
0.040306216,-0.0025439784
0.02563207,-0.0024204329
0.016193622,-0.002319999
0.034608244,-0.0026598498
0.018058422,-0.0025385767
0.023823567,-0.002768509
0.136911263,-0.0029913038
0.104447522,-0.002989918
0.072432583,-0.0029814765
0.053831215,-0.0029675215
0.140638208,-0.0029349998
0.110485474,-0.002927594
0.080381705,-0.0029130504
0.142550786,-0.002874121
0.115376362,-0.0028599948
0.029355866,-0.0027022138
0.021698106,-0.002583824
0.014900884,-0.0024638548
0.012778473,-0.0023426935
0.020453386,-0.0025882125
0.017272177,-0.0024684146
0.013432775,-0.0023472086
0.017855338,-0.0024732128
0.015313452,-0.0023522377
0.0126,-0.0023091286
0.0126,-0.0024144277
0.014247568,-0.0025191829
0.016935096,-0.0026234463
0.0126,-0.0022977218
0.012846141,-0.0024021342
0.014237945,-0.0025061294
0.012606225,-0.0022837743
0.012931759,-0.0023874044
0.0126,-0.0022671595
0.021976041,-0.003197059
0.047189885,-0.0031267554
0.092767195,-0.0030587763
0.04610269,-0.003195718
0.087130612,-0.003126815
0.132350382,-0.00305821
0.073881001,-0.0031842366
0.130007824,-0.0031146035
0.101169923,-0.0031598434
0.016072831,-0.0027383491
0.0126,-0.0026003495
0.0126,-0.0024610236
0.0126,-0.002320625
0.015728386,-0.0026075765
0.0126,-0.0024662912
0.0126,-0.002323918
0.013502213,-0.002475664
0.0126,-0.0023313314
0.0126,-0.0024414286
0.0126,-0.0025614053
0.012665894,-0.0026805475
0.0126,-0.0023200586
0.0126,-0.002439268
0.0126,-0.0025577992
0.0126,-0.0023162737
0.0126,-0.002433993
0.0126,-0.0022711083
0.0126,-0.002263315
0.0126,-0.002262026
0.012606929,-0.0023834482
0.012651052,-0.0023780838
0.012685028,-0.0023793355
0.013071596,-0.0024937019
0.013550226,-0.0024910793
0.015455459,-0.0026021972
0.050704676,-0.003402181
0.04215243,-0.0033195093
0.045756462,-0.0032397285
0.048889341,-0.0033708736
0.036965459,-0.0032875761
0.03032044,-0.0032038763
0.046466214,-0.003321208
0.037402115,-0.0032335892
0.055947031,-0.003249824
0.0126,-0.0022866875
0.0126,-0.0022868142
0.0126,-0.002281472
0.0126,-0.0024137348
0.0126,-0.002409421
0.0126,-0.0024001226
0.0126,-0.0025369674
0.0126,-0.0025287122
0.0126,-0.00265681
0.031644324,-0.0035747364
0.049971369,-0.0034636483
0.082150269,-0.0033575445
0.073391796,-0.0034820363
0.10675914,-0.0033686087
0.113526429,-0.0032534674
0.094534806,-0.0033660904
0.117731635,-0.0032437146
0.117734082,-0.003222406
0.0126,-0.0027004704
0.0126,-0.0025538802
0.0126,-0.0024011433
0.0126,-0.0022431165
0.0126,-0.0025629178
0.0126,-0.0024159998
