x,y,abs_error_t71
1.8311099,38.687588,0.35135323
2.074575,38.61109,0.33489293
2.3180404,38.53459,0.31713152
2.5615056,38.458096,0.29696202
1.993373,38.8901,0.3464697
2.2464602,38.80496,0.3308319
2.4995472,38.719814,0.30277896
2.17488,39.07532,0.37345332
2.4375892,38.981537,0.32954317
2.3756309,39.24326,0.39960068
1.4549216,37.968254,0.34025478
1.7320184,37.959023,0.33934635
2.0091152,37.949795,0.3243019
2.286212,37.940563,0.3094045
1.5621117,38.218517,0.38500452
1.8483115,38.204044,0.33745956
2.1345112,38.18957,0.31647265
1.6875077,38.458294,0.36755198
1.9828106,38.43858,0.33347577
6.447986,38.965843,0.15510494
6.6878014,39.15118,0.14152348
6.9276166,39.336517,0.1404705
7.167432,39.521854,0.15384
6.282333,39.28026,0.17584366
6.5301204,39.48429,0.16154206
6.777908,39.68832,0.16480857
6.116679,39.59467,0.20547348
6.372439,39.817398,0.20881152
5.951026,39.909084,0.2428155
7.1331334,38.76385,0.14516532
7.450928,38.849033,0.21673298
7.768723,38.934216,0.27326357
8.086518,39.019398,0.26348072
7.144566,39.01652,0.16129375
7.462616,39.10311,0.21728098
7.7806654,39.189705,0.22404402
7.1559987,39.269188,0.14871442
7.4743032,39.357193,0.17493325
8.828586,38.68565,0.076307535
8.578567,38.79061,0.1204319
8.33121,38.90186,0.20776486
8.630538,38.502308,0.095730424
8.381851,38.610413,0.16438693
8.135827,38.724808,0.23690975
8.432491,38.318966,0.1319766
8.185135,38.430214,0.19136667
8.234444,38.135624,0.15848678
8.861869,37.984898,0.048178434
9.05914,38.085526,0.018471777
9.256412,38.186153,0.014129281
9.453683,38.28678,0.028704524
8.850775,38.218483,0.048217893
9.053646,38.328793,0.011950552
9.256516,38.439106,0.007172942
8.83968,38.452065,0.04746169
9.048151,38.57206,0.02334863
3.2379718,39.719036,0.28980207
2.9353228,39.58808,0.34476066
2.6478758,39.42949,0.39785045
3.2805686,39.388187,0.24548501
2.9855206,39.243416,0.27217382
2.7056746,39.071003,0.28793216
3.3231654,39.057343,0.20620644
3.0357187,38.89875,0.22550851
3.3657625,38.726494,0.22726834
4.1614065,38.9873,0.23020864
4.279971,39.32223,0.23282993
4.3985353,39.657166,0.24984121
4.5171,39.992096,0.26911712
3.8535948,39.231213,0.20743191
3.9660122,39.58669,0.22978818
4.0784297,39.942165,0.24992937
3.5457833,39.475124,0.23029643
3.6520536,39.851143,0.24909002
5.477366,39.97626,0.2564178
4.999391,40.003933,0.2935394
5.7606454,39.515438,0.2166223
5.284828,39.562862,0.23970747
4.804695,39.570778,0.25593603
5.5702653,39.12179,0.20818275
5.09229,39.14946,0.23658234
5.379885,38.728146,0.2145037
1.1737292,36.94111,0.32918948
1.4947075,37.00582,0.32192808
1.8156857,37.070534,0.2939282
2.1366642,37.135246,0.28275096
1.2398866,37.29027,0.36095697
1.5746516,37.351593,0.3267489
1.9094166,37.412914,0.29527026
1.3336174,37.632652,0.3689381
1.6821691,37.690586,0.33164316
9.326107,37.456306,0.018581271
9.599195,37.529343,0.015533328
9.872282,37.60238,0.033447206
10.14537,37.67542,0.04781443
9.368632,37.73313,0.004943669
9.642258,37.805965,0.03212869
9.915883,37.8788,0.03691405
9.411158,38.009956,0.020501196
