step,phase,c_lambda,e11_lambda,e22_lambda,e12_lambda,allen_cahn_lambda,force_balance_lambda,k_reg_lambda
0,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
1,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
2,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
3,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
4,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
5,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
6,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
7,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
8,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
9,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
10,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
11,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
12,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
13,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
14,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
15,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
16,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
17,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
18,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
19,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
20,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
21,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
