step,phase,c_loss,e11_loss,e22_loss,e12_loss,allen_cahn_loss,force_balance_loss,k_reg_loss,total_loss
0,adam,0.12700058736147418,0.160757377743721,5.512170270566018,87.44183275776524,0.0005393439768663337,0.010888000604726614,0.008452991834811626,109.6757086476972
1,adam,0.12560305383897596,0.08207251996763291,0.41750844832389583,13.383404454877299,0.0003025372730447881,0.007010340465292815,0.00037339592076492524,28.336990602554813
2,adam,0.12371212628579908,0.06641451257371134,0.21138727761084034,0.6897008854054636,0.00017902638759433983,0.00631719742030386,0.00014225351826039953,14.983926465434413
3,adam,0.12137208350243107,0.07108740051907877,0.1265067282703615,0.06128944829106331,0.00010326870500237771,0.002330346641341044,9.063597897165305e-05,13.281432490194998
4,adam,0.1191514622299902,0.07266253641536159,0.09012758491500732,0.051792193444505814,5.683744213104458e-05,0.0007978822179739514,6.634479312549135e-05,12.717093529239778
5,adam,0.11670477015356864,0.07188720232056033,0.07103401134091039,0.05187251106385262,2.939967288834704e-05,0.0005116895096556794,4.988577676422503e-05,12.385735634834536
6,adam,0.11448678951109609,0.07032074322623591,0.05870963825333503,0.052782442300550396,1.3254724631077543e-05,0.0004410777455045571,3.7758698454126716e-05,12.12447557141704
7,adam,0.11195204334874306,0.06927344010722253,0.05039375972363257,0.052974006341349696,4.580609041318718e-06,0.0004105693510463161,2.8612117427157146e-05,11.84664950832244
8,adam,0.1095591091340588,0.06838160512908813,0.044858930091704094,0.052786420069394574,1.7205236454467542e-06,0.0003930825745731953,2.1406486696158084e-05,11.59014827974381
9,adam,0.10726105397747408,0.06747287151313597,0.04121488092407104,0.052746937520081,4.461365389004406e-06,0.0003768509176875194,1.5708423762266796e-05,11.346638771795458
10,adam,0.10487864502976017,0.06706267114608519,0.03892034736852492,0.05307583799285273,1.2584817605168229e-05,0.0003671123460310722,1.133117327680661e-05,11.101362997485746
11,adam,0.10245876038266767,0.06653679618912359,0.03741806312914817,0.05351722336584522,2.4581537804953123e-05,0.000353994655362781,7.985054282706247e-06,10.85280446083315
12,adam,0.10013722508184371,0.06614198980312194,0.03665777998826196,0.054113727904135184,3.6021095565370016e-05,0.00034575453478722805,5.5320415853085225e-06,10.616672885033392
13,adam,0.09772014017066648,0.0655706059788504,0.03599036040325319,0.054465464526607145,4.2037985798332e-05,0.00033690916438166413,3.7386530787062516e-06,10.368739435749669
14,adam,0.0952649260720899,0.06535871350957502,0.035579803850381606,0.05529844172058567,4.123225552311558e-05,0.00033021159094548033,2.485121080274938e-06,10.118759401382938
15,adam,0.09277097736635516,0.06487337800283585,0.03520739595255544,0.055970057003921075,3.6601093010939354e-05,0.00031963381315431287,1.6307959750490902e-06,9.861882763524209
16,adam,0.09029115351938433,0.06477299068243272,0.03513502678082835,0.05716848325344824,3.136371636966003e-05,0.0003129680483271518,1.062773816879452e-06,9.609946281679216
17,adam,0.08787844714618498,0.06463716551661491,0.034994313793797645,0.05758508547179161,2.690253683296408e-05,0.0003059783747660056,6.9566991742836e-07,9.363850562803206
18,adam,0.08537616580724716,0.06458286892983221,0.034792754258359634,0.05832014160771524,2.340476660925384e-05,0.00029979214154844804,4.6357825013846223e-07,9.109752808847736
19,adam,0.08293338672768685,0.06454285378417661,0.03459747676407137,0.059111494811311845,2.064590232968781e-05,0.00029303134144884686,3.2246277310003924e-07,8.861837110211772
