concentration,j_0(c)
0.085926031,9.7316015e-06
0.071048654,9.810647e-06
0.060858766,9.902309e-06
0.055140338,1.0007781e-05
0.05943605,9.875188e-06
0.052146544,9.971843e-06
0.047038858,1.0082745e-05
0.044866557,1.0042244e-05
0.040929906,1.0158754e-05
0.039813696,1.0235627e-05
0.142714353,9.414582e-06
0.118839463,9.478552e-06
0.100255479,9.56182e-06
0.083069098,9.666486e-06
0.142714353,9.501038e-06
0.106392402,9.583773e-06
0.083629974,9.687809e-06
0.117339152,9.605874e-06
0.084005939,9.70962e-06
0.051186838,1.533053e-05
0.049878135,1.5884141e-05
0.045736979,1.6431253e-05
0.038518016,1.696715e-05
0.049367395,1.5252969e-05
0.044572773,1.5826596e-05
0.039075126,1.6393324e-05
0.046147235,1.51826225e-05
0.040973559,1.5775806e-05
0.044213316,1.5118708e-05
0.045089931,1.6438777e-05
0.033941618,1.706624e-05
0.021777741,1.7677938e-05
0.020556879,1.8266968e-05
0.046044341,1.6617065e-05
0.03459588,1.7235656e-05
0.024614825,1.7836732e-05
0.042799027,1.679332e-05
0.033254164,1.7402514e-05
0.062107197,1.9315024e-05
0.062107197,1.8967005e-05
0.043272648,1.8616603e-05
0.045175706,1.89265e-05
0.037065682,1.8564946e-05
0.023338567,1.8203707e-05
0.02694625,1.8514915e-05
0.022251595,1.8141915e-05
0.015840899,1.808205e-05
0.022247985,1.9087107e-05
0.02359895,1.9440524e-05
0.028266077,1.9774187e-05
0.034148001,2.0087082e-05
0.030246081,1.916347e-05
0.044227797,1.9522318e-05
0.034148001,1.9859885e-05
0.053418958,1.9239531e-05
0.069103647,1.9603292e-05
0.047701209,1.1189192e-05
0.049828082,1.0832592e-05
0.039921901,1.0515156e-05
0.034526634,1.1040141e-05
0.035383612,1.0691564e-05
0.034815799,1.0382712e-05
0.023215958,1.0893023e-05
0.026503166,1.0552818e-05
0.023879945,1.07483065e-05
0.012801384,1.176677e-05
0.013275033,1.2138516e-05
0.014555353,1.2523585e-05
0.016681132,1.29196305e-05
0.016082812,1.155439e-05
0.016213278,1.1915576e-05
0.014041773,1.229111e-05
0.028328952,1.1362399e-05
0.035658002,1.1712537e-05
0.035163167,1.4379335e-05
0.019543766,1.3641679e-05
0.040306216,1.452059e-05
0.02563207,1.37742345e-05
0.016193622,1.3041533e-05
0.034608244,1.3922662e-05
0.018058422,1.3178072e-05
0.023823567,1.3331883e-05
0.136911263,9.220994e-06
0.104447522,9.240205e-06
0.072432583,9.289371e-06
0.053831215,9.372041e-06
0.140638208,9.262811e-06
0.110485474,9.307039e-06
0.080381705,9.384426e-06
0.142550786,9.325948e-06
0.115376362,9.398912e-06
0.029355866,1.9630268e-05
0.021698106,2.0060283e-05
0.014900884,2.0452708e-05
0.012778473,2.0805779e-05
0.020453386,1.9787807e-05
0.017272177,2.020184e-05
0.013432775,2.0578187e-05
0.017855338,1.9940198e-05
0.015313452,2.0338104e-05
0.0126,2.1874066e-05
0.0126,2.1819247e-05
0.014247568,2.1760115e-05
0.016935096,2.1696922e-05
0.0126,2.1954684e-05
0.012846141,2.1909736e-05
0.014237945,2.1861044e-05
0.012606225,2.2023723e-05
0.012931759,2.1988399e-05
0.0126,2.2080256e-05
0.021976041,9.135384e-06
0.047189885,9.159845e-06
0.092767195,9.1892225e-06
0.04610269,9.122662e-06
0.087130612,9.1574975e-06
0.132350382,9.194345e-06
0.073881001,9.162574e-06
0.130007824,9.202449e-06
0.101169923,9.250004e-06
0.016072831,2.036477e-05
0.0126,2.0791964e-05
0.0126,2.1161202e-05
0.0126,2.1471544e-05
0.015728386,2.0518479e-05
0.0126,2.0925574e-05
0.0126,2.1274504e-05
0.013502213,2.0665644e-05
0.0126,2.105244e-05
0.0126,2.136448e-05
0.0126,2.1249658e-05
0.012665894,2.1127267e-05
0.0126,2.1619044e-05
0.0126,2.1527687e-05
0.0126,2.142946e-05
0.0126,2.1754067e-05
0.0126,2.1678174e-05
0.0126,2.2160097e-05
0.0126,2.2143904e-05
0.0126,2.2117945e-05
0.012606929,2.2128817e-05
0.012651052,2.2095886e-05
0.012685028,2.2051316e-05
0.013071596,2.207029e-05
0.013550226,2.2019e-05
0.015455459,2.198333e-05
0.050704676,9.1015745e-06
0.04215243,9.144687e-06
0.045756462,9.195602e-06
0.048889341,9.250612e-06
0.036965459,9.307352e-06
0.03032044,9.367639e-06
0.046466214,9.494298e-06
0.037402115,9.558119e-06
0.055947031,9.833735e-06
0.0126,2.2148964e-05
0.0126,2.216622e-05
0.0126,2.216956e-05
0.0126,2.2178527e-05
0.0126,2.2173397e-05
0.0126,2.2155053e-05
0.0126,2.2176868e-05
0.0126,2.2148897e-05
0.0126,2.2142083e-05
0.031644324,9.5009445e-06
0.049971369,9.5965215e-06
0.082150269,9.710542e-06
0.073391796,9.988152e-06
0.10675914,1.0116276e-05
0.113526429,1.0254648e-05
0.094534806,1.0680365e-05
0.117731635,1.0831605e-05
0.117734082,1.1611233e-05
0.0126,2.2220478e-05
0.0126,2.2164997e-05
0.0126,2.2066088e-05
0.0126,2.1927504e-05
0.0126,2.219288e-05
0.0126,2.2131555e-05
0.0126,2.2028187e-05
0.0126,2.2169328e-05
0.0126,2.2102004e-05
0.0126,2.2126105e-05
0.0126,2.1941692e-05
0.0126,2.1708256e-05
0.0126,2.1431595e-05
0.0126,2.2054126e-05
