step,phase,c_loss,e11_loss,e22_loss,e12_loss,allen_cahn_loss,force_balance_loss,k_reg_loss,total_loss,test_total_loss,test_c_loss,test_e11_loss,test_e22_loss,test_e12_loss,test_allen_cahn_loss,test_force_balance_loss,test_k_reg_loss
0,adam,0.10757179654413654,0.50594778118595,2.071032758682005,13.05542561315721,6.114305792394706e-06,2.5152300543415932e-08,5.265427972194776e-05,16.796007094844693,10.456830978393555,0.08202992379665375,0.2823171615600586,1.0242105722427368,8.435930252075195,2.4567966647737194e-06,2.8580352307017165e-08,1.2546854122774675e-05
1,adam,0.10666683604640345,0.49448518503096794,2.072420435567056,13.088370261653777,7.708862892374576e-06,6.977680174160131e-08,3.967309189354109e-06,16.819714792313114,10.419228553771973,0.08269532024860382,0.278525710105896,1.019014596939087,8.40871810913086,3.037060196220409e-06,8.390420447312863e-08,3.0969536624070315e-07
2,adam,0.10582058083626532,0.4849268957491844,2.0623953957711496,12.988401259145428,9.44582810799118e-06,2.430355175603484e-07,2.035793049836068e-07,16.692555950533958,10.36689567565918,0.08421000838279724,0.2775779366493225,1.0090970993041992,8.368605613708496,5.432681064121425e-06,3.2442389397147053e-07,2.2698822021993692e-07
3,adam,0.10414415766154567,0.4781155009423533,2.041532535706797,12.90640511051301,1.1451656064309645e-05,8.200454559418206e-07,2.3332886155091521e-07,16.573496541669293,10.264082908630371,0.08680897206068039,0.27660879492759705,0.9894410967826843,8.28992748260498,7.935631401778664e-06,1.1092020031355787e-06,2.349437266957466e-07
4,adam,0.10153501216442354,0.4752529311564661,2.0117739900465934,12.822795314173545,1.1713837304869817e-05,2.3587787411323066e-06,2.3685215280106458e-07,16.444978344825007,10.077149391174316,0.09060399979352951,0.2745356857776642,0.9518318176269531,8.150918006896973,8.4753664850723e-06,3.4491067708586343e-06,2.1662091853613674e-07
5,adam,0.09882368363680379,0.4710530581012849,1.9512446772667669,12.632685415206417,9.667879801840641e-06,6.755258387021323e-06,1.8474001156083696e-07,16.167117795636578,9.738956451416016,0.09462630748748779,0.2703326940536499,0.8848341107368469,7.9020209312438965,6.952780495339539e-06,1.0547893907641992e-05,1.337627963948762e-07
6,adam,0.09618815491276403,0.46448420709179294,1.8492857179334086,12.305726758895382,7.153955779827928e-06,1.935900963285202e-05,1.3507568041859486e-07,15.696093466974073,9.205087661743164,0.09809096157550812,0.2642495930194855,0.7778485417366028,7.511478900909424,5.265432264422998e-06,3.163509245496243e-05,1.2291999951230537e-07
7,adam,0.09400353869122843,0.4554883424312838,1.7013341803704538,11.801471894787204,5.271040355446823e-06,5.473224988353679e-05,1.072685116073004e-07,14.987412145060878,8.501005172729492,0.10043098777532578,0.2580817937850952,0.6470773220062256,6.981065273284912,3.989894594269572e-06,8.501170668751001e-05,8.720649447013784e-08
8,adam,0.09187374936957513,0.44864522833977977,1.5307244831515896,11.142241231856808,4.0720511283472015e-06,0.00012879451711459325,9.229596676893761e-08,14.098930820342034,7.7801923751831055,0.10109356790781021,0.2540619671344757,0.5399758219718933,6.403472900390625,3.2002790248952806e-06,0.0001653273357078433,8.454373556787687e-08
9,adam,0.08837395401731614,0.44463696787434237,1.404085624602533,10.540970986889254,3.6418359594526626e-06,0.00021216281381766162,8.65870676090796e-08,13.325818154119677,7.271906852722168,0.10061327368021011,0.25369375944137573,0.4964473247528076,5.962274074554443,3.1659790238336427e-06,0.00020573097572196275,9.302814873990428e-08
10,adam,0.08350393368351844,0.45018786384213355,1.3431689931500344,10.132272197354224,3.827403867445913e-06,0.0002369647676635894,8.96635810473497e-08,12.828892369424143,7.021928310394287,0.10002201050519943,0.25835132598876953,0.49539873003959656,5.722053527832031,3.5917453260481125e-06,0.00020551121269818395,9.159457192708942e-08
11,adam,0.07877544001225502,0.455579177987191,1.3185761359430128,9.863862806750882,4.081886477398521e-06,0.00026258044066883985,9.30666635942925e-08,12.522168559412803,6.892503261566162,0.1004195585846901,0.2628990411758423,0.5033589005470276,5.582237243652344,3.900472165696556e-06,0.0002226402284577489,9.989323501713443e-08
12,adam,0.07460556924343109,0.46072451529964326,1.3151946375446935,9.680231986507293,4.0150761554785625e-06,0.00028477093174813253,8.927145405697312e-08,12.329153553132087,6.837118148803711,0.10176266729831696,0.26749423146247864,0.5120071768760681,5.5093512535095215,3.841144462057855e-06,0.00024850963382050395,8.574306065156634e-08
13,adam,0.07176922934670601,0.46350168797277636,1.3106635424398607,9.544913845677529,3.5849949610213027e-06,0.0003089940385712731,8.109144335233601e-08,12.185243883440572,6.772597312927246,0.10610657185316086,0.2671085000038147,0.5167621970176697,5.430667877197266,3.5552682220441056e-06,0.0002889401512220502,8.955765196105858e-08
14,adam,0.06933286689942883,0.46735651646890947,1.3130121269533712,9.468222741157778,3.119445490219439e-06,0.0003269640512899646,7.509549867967097e-08,12.111431091062483,6.7591447830200195,0.10954751819372177,0.26889264583587646,0.5248852372169495,5.400108337402344,3.2071268378786044e-06,0.000305601250147447,7.150527636667903e-08
15,adam,0.06735647469758987,0.4677462500910605,1.3201333668924147,9.394554876512096,2.6780964778862976e-06,0.00035270024935955244,6.905958804098542e-08,12.04496697456606,6.774665832519531,0.11203999072313309,0.2711736857891083,0.5344759821891785,5.397666931152344,2.8940351057826774e-06,0.0003136718296445906,7.627966880363601e-08
16,adam,0.06536450405274669,0.46970182272695726,1.3277483563269339,9.369691817991194,2.3785748394842694e-06,0.0003690029684108712,6.703137142124199e-08,12.03020215803577,6.797173500061035,0.11464614421129227,0.27247223258018494,0.5424252152442932,5.404137134552002,2.643648940647836e-06,0.0003236181801185012,7.621390807344142e-08
17,adam,0.0643404079300742,0.47011949073883796,1.32533868282072,9.295749264378701,2.069079656511378e-06,0.00038428314127809097,6.354630381756285e-08,11.951577586512412,6.749962329864502,0.12238355726003647,0.2709636688232422,0.5422688722610474,5.348906517028809,2.4189328087231843e-06,0.00033890988561324775,7.038988059093754e-08
18,adam,0.062113513869623986,0.4697707026235519,1.3247790682700373,9.258942696356005,1.8509137274327992e-06,0.00039364628197114553,5.997755479366759e-08,11.910795796302057,6.772592544555664,0.1251140683889389,0.2722999155521393,0.5454987287521362,5.362547397613525,2.2223778159968788e-06,0.00033774637267924845,5.9095299320688355e-08
19,adam,0.06037159276104743,0.47074244099278606,1.323293847422446,9.21878602427821,1.6685831364919714e-06,0.00040231693457181176,5.652353332339449e-08,11.867213895243983,6.77692985534668,0.1302514374256134,0.27426859736442566,0.5484120845794678,5.355909824371338,2.082058244923246e-06,0.00033523328602313995,5.342320363865838e-08
20,adam,0.058823672994490595,0.4719682893445415,1.323307744918331,9.219399252245504,1.4938122288391065e-06,0.00040127709601825526,5.50069802467269e-08,11.86692625476468,6.778076171875,0.13540582358837128,0.2724382281303406,0.5462808609008789,5.3536529541015625,1.933571184054017e-06,0.00034257391234859824,5.847940798275886e-08
21,adam,0.056756736169899666,0.4690382903622043,1.3195484376722766,9.165153303454,1.3964450926646204e-06,0.00040820277213389353,5.2935702101312045e-08,11.801240428801506,6.757702827453613,0.14383503794670105,0.2720182538032532,0.5446842312812805,5.324947357177734,1.8445625755703077e-06,0.00035067860153503716,4.9470855856270646e-08
22,adam,0.05500363846940379,0.47116768552410987,1.317252682101342,9.125142574310303,1.2888770382438275e-06,0.00041060355086360245,5.0327382232977e-08,11.756831292183168,6.748285293579102,0.15270446240901947,0.272722989320755,0.5454674959182739,5.303569316864014,1.7510411680632387e-06,0.0003524141211528331,5.1718416216317564e-08
23,adam,0.05309191165912536,0.46893003582954407,1.3131466488684378,9.083833602166944,1.2251651667376732e-06,0.0004152085382356158,4.886031261306808e-08,11.704802513122559,6.751227378845215,0.1602778285741806,0.2732781767845154,0.5435535311698914,5.298929691314697,1.68692065471987e-06,0.0003524337662383914,4.789061591736754e-08
24,adam,0.051116138576499874,0.4677207575690362,1.3056335756855626,9.02930199715399,1.1004560820442895e-06,0.00041709084818590314,4.693038399471833e-08,11.635302543640137,6.780394554138184,0.1662645936012268,0.273713082075119,0.5409762263298035,5.322518825531006,1.5747772295071627e-06,0.0003494352858979255,4.8188830703566055e-08
