x,y,c_abs_error_t71
1.8311099,38.687588,0.13489133
2.074575,38.61109,0.116683245
2.3180404,38.53459,0.108760774
2.5615056,38.458096,0.1059553
1.993373,38.8901,0.0996111
2.2464602,38.80496,0.09370804
2.4995472,38.719814,0.086661816
2.17488,39.07532,0.10765815
2.4375892,38.981537,0.08645594
2.3756309,39.24326,0.1296866
1.4549216,37.968254,0.24020922
1.7320184,37.959023,0.20789415
2.0091152,37.949795,0.17423832
2.286212,37.940563,0.15244746
1.5621117,38.218517,0.24703622
1.8483115,38.204044,0.17280644
2.1345112,38.18957,0.140549
1.6875077,38.458294,0.189592
1.9828106,38.43858,0.13650095
6.447986,38.965843,0.14581817
6.6878014,39.15118,0.10906932
6.9276166,39.336517,0.067735225
7.167432,39.521854,0.01995045
6.282333,39.28026,0.11598086
6.5301204,39.48429,0.06752974
6.777908,39.68832,0.026560754
6.116679,39.59467,0.08451849
6.372439,39.817398,0.038083643
5.951026,39.909084,0.0548684
7.1331334,38.76385,0.1334143
7.450928,38.849033,0.1411604
7.768723,38.934216,0.14478493
8.086518,39.019398,0.13590759
7.144566,39.01652,0.11721617
7.462616,39.10311,0.10531619
7.7806654,39.189705,0.060672373
7.1559987,39.269188,0.06333017
7.4743032,39.357193,0.021214336
8.828586,38.68565,0.1198636
8.578567,38.79061,0.11006713
8.33121,38.90186,0.13554135
8.630538,38.502308,0.12367496
8.381851,38.610413,0.13413164
8.135827,38.724808,0.15146184
8.432491,38.318966,0.13676596
8.185135,38.430214,0.14434537
8.234444,38.135624,0.14299452
8.861869,37.984898,0.14280134
9.05914,38.085526,0.13835874
9.256412,38.186153,0.12194222
9.453683,38.28678,0.11224365
8.850775,38.218483,0.13300976
9.053646,38.328793,0.11750397
9.256516,38.439106,0.107341975
8.83968,38.452065,0.11492804
9.048151,38.57206,0.10621217
3.2379718,39.719036,0.1259672
2.9353228,39.58808,0.13015288
2.6478758,39.42949,0.14508027
3.2805686,39.388187,0.09343207
2.9855206,39.243416,0.079704404
2.7056746,39.071003,0.06544572
3.3231654,39.057343,0.060227036
3.0357187,38.89875,0.051640093
3.3657625,38.726494,0.08228719
4.1614065,38.9873,0.10482377
4.279971,39.32223,0.12213266
4.3985353,39.657166,0.14693469
4.5171,39.992096,0.16055882
3.8535948,39.231213,0.093218625
3.9660122,39.58669,0.13131344
4.0784297,39.942165,0.16090196
3.5457833,39.475124,0.10992879
3.6520536,39.851143,0.14408624
5.477366,39.97626,0.086889565
4.999391,40.003933,0.15722889
5.7606454,39.515438,0.11639714
5.284828,39.562862,0.14178723
4.804695,39.570778,0.15413612
5.5702653,39.12179,0.15659583
5.09229,39.14946,0.16075122
5.379885,38.728146,0.17206818
1.1737292,36.94111,0.3475595
1.4947075,37.00582,0.28397608
1.8156857,37.070534,0.21433228
2.1366642,37.135246,0.17477357
1.2398866,37.29027,0.34378713
1.5746516,37.351593,0.25719315
1.9094166,37.412914,0.18904674
1.3336174,37.632652,0.31327903
1.6821691,37.690586,0.22717607
9.326107,37.456306,0.16812935
9.599195,37.529343,0.16459724
9.872282,37.60238,0.16088834
10.14537,37.67542,0.13888705
9.368632,37.73313,0.15630531
9.642258,37.805965,0.14939108
9.915883,37.8788,0.1460872
9.411158,38.009956,0.13821557
9.685321,38.082584,0.13158455
11.564095,36.468864,0.08257949
11.494565,36.253357,0.13819566
11.4250345,36.03785,0.17393392
11.355504,35.822342,0.1929965
11.735493,36.345623,0.08897835
11.667287,36.13195,0.14795786
11.599081,35.918278,0.1887447
11.909539,36.22605,0.10676432
11.842658,36.014214,0.16452014
12.086235,36.11015,0.1352925
2.1219835,35.912125,0.2611907
1.8058988,36.25512,0.2809266
1.4898139,36.598114,0.3012545
1.7350696,35.79215,0.30338258
1.4223251,36.134678,0.32691246
1.1095805,36.47721,0.35965848
1.3481557,35.672176,0.33274335
1.0387514,36.01424,0.36167943
0.9612417,35.5522,0.35369217
9.966084,36.761005,0.1840542
10.282975,36.847897,0.17192423
10.599866,36.934788,0.1507529
10.916758,37.021683,0.115701646
10.025846,37.065807,0.17650598
10.344675,37.155262,0.15343487
10.663505,37.24472,0.11760345
10.085608,37.370613,0.16006258
10.406375,37.46263,0.12388
10.833222,36.774853,0.14691195
10.749686,36.528023,0.16878575
10.666151,36.281197,0.18513647
11.128115,36.831535,0.09569147
11.04679,36.587643,0.14174026
10.965466,36.34375,0.17216668
11.343894,36.647263,0.08388254
11.26478,36.406307,0.13939774
12.52616,35.69359,0.114898294
12.388285,35.843197,0.11587551
12.241643,35.98205,0.13610277
12.307179,35.604115,0.12431073
12.164921,35.748344,0.14228058
12.013896,35.88182,0.15338409
12.0882,35.51464,0.15036228
11.941558,35.653492,0.16716433
11.869219,35.425167,0.16019607
2.0759482,34.463024,0.25698113
1.7043794,34.82608,0.2891038
1.3328105,35.18914,0.32486385
1.6320688,34.238457,0.29288548
1.2548895,34.602432,0.3240013
0.8777102,34.966408,0.3439167
1.1881893,34.013893,0.3180846
0.8053996,34.378784,0.33145583
0.74430984,33.789326,0.30859715
13.059776,35.122444,0.07145393
12.878378,35.308624,0.07614079
12.700506,35.499004,0.08404961
12.815469,35.037327,0.09674314
12.635834,35.22561,0.10058501
12.459724,35.41809,0.10954356
12.571161,34.95221,0.114097625
12.39329,35.14259,0.12163964
12.326854,34.867092,0.12734392
2.166426,32.728203,0.17189485
1.6923873,33.081913,0.22595173
1.2183486,33.43562,0.27704155
1.6512784,32.432735,0.20360225
1.1706712,32.78705,0.25771546
0.6900641,33.141365,0.24384981
1.1361307,32.137264,0.2701311
0.6489551,32.492188,0.24179351
0.62098294,31.841797,0.24845624
12.921279,34.1687,0.11397621
13.2176,34.242,0.102656364
13.513921,34.3153,0.08717409
13.810242,34.3886,0.066976696
12.967444,34.486618,0.10310638
13.263388,34.55922,0.08153039
13.559331,34.631824,0.051775455
13.01361,34.80453,0.090946466
13.3091755,34.87644,0.058988273
13.591622,33.38472,0.12169415
13.933412,33.445305,0.106059164
14.275202,33.50589,0.07268101
14.616991,33.56648,0.0155465305
13.664495,33.719345,0.12070936
14.007419,33.781197,0.102139354
14.350342,33.843044,0.037976414
13.737369,34.053974,0.10968134
14.081426,34.117085,0.07150334
14.400628,32.71706,0.10722658
14.700843,32.77092,0.10336971
15.001058,32.824783,0.09595621
15.301272,32.878647,0.08142033
14.472749,33.0002,0.08937454
14.771416,33.052834,0.07707742
15.070083,33.10547,0.05232677
14.54487,33.283337,0.05984834
14.8419895,33.334747,0.025666952
2.199348,30.855951,0.13015115
1.6732264,31.184566,0.18301582
1.1471046,31.513182,0.25765043
1.670961,30.533825,0.18989563
1.1384655,30.86253,0.2695288
0.60597,31.191233,0.2669971
1.142574,30.211699,0.27529478
0.6037047,30.540491,0.272498
0.6141869,29.889572,0.28389937
15.138894,32.214714,0.1323193
15.37001,32.272934,0.12545508
15.601127,32.331158,0.11541775
15.832242,32.38938,0.11081895
15.19302,32.436024,0.11653304
15.42317,32.4934,0.106180936
15.65332,32.550777,0.09366301
15.247147,32.657333,0.09975815
15.47633,32.713863,0.08691546
15.649534,31.891598,0.14467442
15.833046,31.91312,0.14347374
16.016558,31.934645,0.13556558
16.20007,31.95617,0.12377143
15.710437,32.057526,0.14031544
15.90054,32.084446,0.1341129
16.090645,32.111366,0.13313818
15.771339,32.223454,0.12309483
15.968035,32.255768,0.11015722
2.2797499,28.991318,0.13958257
1.7245623,29.290735,0.19374752
1.1693746,29.590153,0.27861816
1.7599926,28.64095,0.20433861
1.198614,28.93994,0.28239423
0.6372354,29.23893,0.29887068
1.2402353,28.290583,0.28795427
0.6726658,28.589144,0.30616117
0.72047794,27.940216,0.30804843
16.072948,31.767452,0.13417676
15.945827,31.578735,0.1457532
15.818705,31.39002,0.14622137
16.312374,31.782137,0.122053236
16.185835,31.594013,0.13153556
16.059298,31.40589,0.14440754
16.425846,31.609291,0.113740474
16.29989,31.42176,0.12571335
16.540483,31.437632,0.11240539
2.4302886,27.107105,0.08581835
1.8603517,27.38481,0.15316427
1.2904148,27.662512,0.24768198
1.9325256,26.73807,0.12672544
1.356562,27.014824,0.150998
0.7805984,27.291578,0.15197504
1.4347628,26.369036,0.18797791
0.8527724,26.64484,0.15417701
0.937,26.0,0.25183022
16.958448,30.716629,0.111126006
16.825024,30.960714,0.112745434
16.685701,31.201048,0.11097285
16.665253,30.70676,0.1239247
16.52888,30.948969,0.12312794
16.386608,31.187428,0.12516901
16.372057,30.696892,0.13875857
16.232735,30.937225,0.14070696
16.078861,30.687023,0.15249011
2.6549435,25.223146,0.1132226
2.0822957,25.482098,0.1542207
1.5096478,25.741049,0.21915674
2.188097,24.841393,0.15230787
1.6106178,25.099352,0.21349871
1.0331384,25.357311,0.25532246
1.7212508,24.459639,0.22973216
1.1389399,24.716606,0.21605676
1.2544043,24.077885,0.23377794
16.421799,29.755676,0.15359032
16.779427,29.748188,0.14174849
17.137056,29.7407,0.11825055
17.494684,29.733212,0.067091525
16.600681,30.075993,0.1464954
16.956474,30.067392,0.12750587
17.312267,30.058792,0.08072987
16.779564,30.39631,0.12725925
17.133522,30.386599,0.10446572
3.0792994,20.171354,0.090019226
2.7153385,20.300205,0.109138966
2.3513775,20.429056,0.14054227
1.9874164,20.557907,0.14710712
2.8016775,19.89823,0.0819546
2.4381468,20.02715,0.09930527
2.0746162,20.156069,0.100057125
2.5240557,19.625105,0.07992494
2.1609554,19.754093,0.09379578
2.2464337,19.35198,0.083874464
2.8843775,23.369287,0.19965768
2.3410532,23.605486,0.23740035
1.7977288,23.841686,0.2620961
2.4684913,22.972748,0.246027
1.9225723,23.208395,0.29366875
1.3766532,23.444044,0.27222747
2.0526052,22.576206,0.26211274
1.5040914,22.811304,0.27851373
1.6367188,22.179667,0.23907429
3.0128005,21.665962,0.1646207
2.5541067,21.837196,0.1922887
2.0954127,22.008432,0.21215606
2.6710057,21.29661,0.1694532
2.2118933,21.467733,0.20777237
1.7527809,21.638857,0.21405852
2.329211,20.92726,0.18592185
1.8696802,21.09827,0.21545708
3.0781326,19.06455,0.016433358
2.8008997,19.16036,0.037516356
2.5236669,19.25617,0.063798904
2.8637395,18.86126,0.028378725
2.5862007,18.957045,0.04845065
2.3086617,19.05283,0.0775578
2.6493464,18.657967,0.040597737
2.3715014,18.753729,0.0566532
2.4349532,18.454676,0.044794798
2.4876964,18.216167,0.028974771
2.5571673,17.983292,0.031868517
2.643366,17.756048,0.037537456
2.65789,18.412807,0.0382632
2.718997,18.177116,0.040440857
2.7968318,17.947056,0.04863745
2.8808267,18.370941,0.040381968
2.9502976,18.138065,0.050017834
3.1037633,18.329073,0.040833414
16.894823,28.543072,0.13208857
17.358011,28.512974,0.12474826
17.821198,28.482878,0.11286059
18.284386,28.45278,0.09136066
17.094778,28.939785,0.13590351
17.562815,28.912497,0.1210815
18.030853,28.885208,0.10539797
17.294731,29.336498,0.11623758
17.767618,29.31202,0.074526995
2.758639,17.512957,0.024836898
2.872948,17.269396,0.035469413
2.9862928,17.025364,0.049456418
2.9343457,17.760855,0.050702393
3.0491366,17.517529,0.049722552
3.1629636,17.273731,0.0478366
3.2253256,17.765661,0.052625358
3.3396344,17.5221,0.048659146
3.5163052,17.770468,0.04615152
17.431309,27.009161,0.12496662
17.985912,26.940346,0.12844044
18.540514,26.87153,0.14813009
19.095118,26.802715,0.17345679
17.715668,27.490368,0.11802074
18.27424,27.423737,0.11772072
18.832813,27.357107,0.12582439
18.000027,27.971573,0.10633165
18.562569,27.90713,0.09107885
3.1318502,16.69378,0.037841797
3.2879746,16.367384,0.029732108
3.454666,16.04617,0.02429974
3.3697913,17.008385,0.049503863
3.520632,16.679396,0.0391649
3.68204,16.355589,0.030673206
3.7532897,16.991407,0.053004265
3.909414,16.665009,0.04261279
4.1367884,16.974428,0.059031725
19.900255,25.199503,0.24032936
19.612156,24.829296,0.23466268
19.324057,24.459091,0.22526395
19.035957,24.088886,0.21946323
20.10933,24.771168,0.22891694
19.81634,24.398634,0.21634084
19.52335,24.026098,0.20816895
20.308622,24.338175,0.1877959
20.010742,23.963312,0.18903461
20.498135,23.900524,0.15024883
18.220798,25.420376,0.17073452
18.780617,25.346752,0.20843574
19.340437,25.273127,0.22933584
18.512238,25.881155,0.17775854
19.070036,25.806412,0.21181625
19.627832,25.731668,0.227994
18.803679,26.341936,0.18087721
19.359453,26.266073,0.19416666
4.1849303,14.782154,0.011768997
4.4284515,15.157156,0.017533243
4.671973,15.532158,0.015802324
4.9154944,15.907159,0.016463518
3.935175,15.199855,0.010652304
4.1818633,15.576675,0.016137421
4.4285517,15.953496,0.018511772
3.6917536,15.621193,0.014858663
3.9416087,15.999833,0.024481297
20.261969,23.594294,0.16876349
20.025803,23.288061,0.17291352
19.789637,22.98183,0.1688743
20.667843,23.588467,0.1444236
20.432922,23.283232,0.16579339
20.198,22.977997,0.17071986
20.84004,23.2784,0.15317988
20.606363,22.974161,0.17204282
21.014727,22.970325,0.1748017
5.746736,14.715966,0.0403803
5.2261343,14.738029,0.027226508
4.705532,14.760092,0.017882705
5.528395,14.267434,0.020683348
5.003923,14.287075,0.0127360225
4.4794507,14.306716,0.0073724985
5.3100543,13.818902,0.0090069175
4.781712,13.836121,0.0042909384
5.091714,13.37037,0.0020982027
6.402071,13.388434,0.019253135
5.9652853,13.382413,0.010949373
5.5284996,13.376391,0.0056088567
6.2493963,12.980816,0.008895218
5.8098593,12.972907,0.00384897
5.3703227,12.964998,0.00067567825
6.096721,12.573198,0.002384901
5.6544333,12.563401,0.00094896555
5.944046,12.16558,0.0012592077
6.1626697,11.872422,0.004494071
6.3841157,11.581364,0.020076275
6.608384,11.292405,0.022399545
6.29282,12.230606,0.0007261634
6.5128546,11.9384985,0.0020964146
6.735712,11.64849,0.008421123
6.6415935,12.295633,0.0051561
6.8630395,12.004575,0.003929913
6.990367,12.36066,0.009811997
21.354822,21.976885,0.15187296
21.263784,22.31777,0.16223279
21.15042,22.648916,0.16666892
20.999828,22.01679,0.17521957
20.897629,22.352806,0.18046618
20.7731,22.679085,0.17743403
20.644836,22.056696,0.19460166
20.531471,22.387844,0.19046727
20.289843,22.096603,0.2057719
7.113325,10.65193,0.026114762
7.2484484,10.918311,0.0068279505
7.383572,11.184692,0.0013180375
7.518696,11.451073,0.0066446066
6.9458117,10.865777,0.01628244
7.0805354,11.131981,0.0048573017
7.2152586,11.398184,0.0023277998
6.7774982,11.079268,0.02264154
6.9118214,11.345294,0.009054661
