step,phase,c_loss,e11_loss,e22_loss,e12_loss,allen_cahn_loss,force_balance_loss,k_reg_loss,interp_c_loss,interp_e11_loss,interp_e22_loss,interp_e12_loss,total_loss,test_total_loss,test_c_loss,test_e11_loss,test_e22_loss,test_e12_loss,test_allen_cahn_loss,test_force_balance_loss,test_k_reg_loss,test_interp_c_loss,test_interp_e11_loss,test_interp_e22_loss,test_interp_e12_loss,k_std,k_min,k_max
0,adam,0.09766536951065063,0.47812166810035706,2.0750133991241455,13.087020874023438,0.00019342433370184153,1.7258743767456508e-08,0.00567860109731555,0.09609729051589966,0.48782163858413696,2.1768038272857666,13.542963981628418,7.052407741546631,3.577120304107666,0.1024155393242836,0.27997899055480957,1.0190397500991821,8.441516876220703,0.0002712433924898505,3.8854999218074227e-08,0.01660304330289364,0.0,0.0,0.0,0.0,0.01841670088469982,0.8487395644187927,0.9180593490600586
1,adam,0.08961562812328339,0.47459208965301514,2.066408157348633,13.077187538146973,0.0003400807618163526,8.847158738944927e-08,0.04347977787256241,0.08633963018655777,0.5005891919136047,2.1423263549804688,13.730546951293945,7.000086784362793,3.673546552658081,0.11452942341566086,0.27750363945961,1.0105942487716675,8.422440528869629,0.0003543623024597764,1.4342825238600199e-07,0.08510155230760574,0.0,0.0,0.0,0.0,0.01841670088469982,0.8487395644187927,0.9180593490600586
2,adam,0.08214753121137619,0.47133681178092957,2.056981325149536,13.063673973083496,0.00037274922942742705,2.378622809828812e-07,0.16207915544509888,0.07718750089406967,0.4919129014015198,2.207570791244507,13.879612922668457,6.944786071777344,3.7844440937042236,0.12959566712379456,0.27489185333251953,1.0021237134933472,8.400481224060059,0.0003407244512345642,3.495929377095308e-07,0.2712918221950531,0.0,0.0,0.0,0.0,0.01841670088469982,0.8487395644187927,0.9180593490600586
3,adam,0.07416605204343796,0.46764758229255676,2.046675205230713,13.059530258178711,0.0003257841744925827,5.317301088325621e-07,0.4449007213115692,0.06866127252578735,0.49550560116767883,2.1881520748138428,13.976997375488281,6.865046501159668,3.9287168979644775,0.14977644383907318,0.2713695764541626,0.9917079210281372,8.375446319580078,0.0002656815340742469,7.258867640302924e-07,0.6701786518096924,0.0,0.0,0.0,0.0,0.01841670088469982,0.8487395644187927,0.9180593490600586
4,adam,0.06681645661592484,0.464706689119339,2.0331010818481445,13.036788940429688,0.00023492315085604787,9.933031606124132e-07,0.956274151802063,0.059755124151706696,0.4825919568538666,2.072728395462036,13.393145561218262,6.703444480895996,4.095259666442871,0.17309269309043884,0.26853296160697937,0.9755041599273682,8.344261169433594,0.00017961340199690312,1.2591531231009867e-06,1.2846219539642334,0.0,0.0,0.0,0.0,0.01841670088469982,0.8487395644187927,0.9180593490600586
5,adam,0.061534248292446136,0.4599247872829437,2.019780397415161,13.039534568786621,0.00015430552593898028,1.7056295291695278e-06,1.6190428733825684,0.0529041513800621,0.4751724898815155,2.1267521381378174,13.554472923278809,6.653087615966797,4.231579303741455,0.192998468875885,0.2659514844417572,0.9531970620155334,8.30982780456543,0.00011689699022099376,2.0884415334876394e-06,1.966159462928772,0.0,0.0,0.0,0.0,0.01841670088469982,0.8487395644187927,0.9180593490600586
6,adam,0.0585797019302845,0.45445677638053894,1.9938101768493652,12.966105461120605,0.00010153168841497973,2.7526443773240317e-06,2.2701964378356934,0.04951575770974159,0.47429347038269043,2.102428913116455,13.605010032653809,6.584768295288086,4.2882490158081055,0.20413896441459656,0.26232609152793884,0.9231387376785278,8.269135475158691,7.986518903635442e-05,3.353318106746883e-06,2.5668575763702393,0.0,0.0,0.0,0.0,0.01841670088469982,0.8487395644187927,0.9180593490600586
7,adam,0.05719790607690811,0.45094501972198486,1.9581929445266724,12.938833236694336,7.195306534413248e-05,4.368578174762661e-06,2.8117330074310303,0.04793599620461464,0.4702438414096832,2.0638413429260254,13.677693367004395,6.538425445556641,4.270781517028809,0.20739437639713287,0.25969231128692627,0.8830766081809998,8.199015617370605,5.8930796512868255e-05,5.012274868931854e-06,3.046534299850464,0.0,0.0,0.0,0.0,0.01841670088469982,0.8487395644187927,0.9180593490600586
8,adam,0.05633236840367317,0.4445081651210785,1.9097728729248047,12.837592124938965,5.514673102879897e-05,6.165421837067697e-06,3.2381479740142822,0.046269871294498444,0.4538111686706543,2.0000009536743164,13.424830436706543,6.434211730957031,4.199295520782471,0.20610561966896057,0.25444355607032776,0.8345086574554443,8.097146034240723,4.682801591116004e-05,6.784020115446765e-06,3.4182796478271484,0.0,0.0,0.0,0.0,0.01841670088469982,0.8487395644187927,0.9180593490600586
9,adam,0.05563885346055031,0.4356043040752411,1.8531618118286133,12.744120597839355,4.533784158411436e-05,7.99214558355743e-06,3.567429780960083,0.04661470279097557,0.46529102325439453,1.953444242477417,13.606112480163574,6.370851039886475,4.091784477233887,0.20307040214538574,0.24491818249225616,0.7808640599250793,7.941222667694092,3.946178185287863e-05,8.718597200640943e-06,3.7061960697174072,0.0,0.0,0.0,0.0,0.01841670088469982,0.8487395644187927,0.9180593490600586
10,adam,0.054734066128730774,0.4231961667537689,1.7793997526168823,12.55616569519043,3.9145161281339824e-05,1.0189648492087144e-05,3.822584629058838,0.04509182646870613,0.4377342462539673,1.8565638065338135,13.05014419555664,6.1885786056518555,3.951040267944336,0.19846077263355255,0.23207905888557434,0.7260255217552185,7.713234901428223,3.443533933022991e-05,1.1681860087264795e-05,3.9289982318878174,0.0,0.0,0.0,0.0,0.00457290792837739,0.1321590542793274,0.15100806951522827
11,adam,0.05361466482281685,0.404345840215683,1.6933114528656006,12.32018756866455,3.495089549687691e-05,1.4760081285203341e-05,4.018770217895508,0.044654328376054764,0.4236893951892853,1.78317391872406,12.90824031829834,6.0197858810424805,3.7916815280914307,0.1939840018749237,0.21556049585342407,0.6700923442840576,7.4193902015686035,3.090615427936427e-05,1.906858233269304e-05,4.098844051361084,0.0,0.0,0.0,0.0,0.00457290792837739,0.1321590542793274,0.15100806951522827
12,adam,0.05204775556921959,0.37850260734558105,1.583847165107727,11.962615013122559,3.170791387674399e-05,2.6029794753412716e-05,4.165286064147949,0.04372493177652359,0.3935704827308655,1.6526848077774048,12.52250862121582,5.764766693115234,3.6103484630584717,0.18896345794200897,0.19652192294597626,0.6130127906799316,7.05911922454834,2.817757922457531e-05,3.630751962191425e-05,4.222447872161865,0.0,0.0,0.0,0.0,0.00457290792837739,0.1321590542793274,0.15100806951522827
13,adam,0.04982500895857811,0.34894299507141113,1.4760684967041016,11.522567749023438,2.9450771762640215e-05,4.96731445309706e-05,4.268889904022217,0.04166916385293007,0.3758806586265564,1.57135009765625,12.195703506469727,5.4952898025512695,3.4448118209838867,0.18482740223407745,0.18178394436836243,0.5647239089012146,6.658700466156006,2.653898627613671e-05,6.868290802231058e-05,4.3060126304626465,0.0,0.0,0.0,0.0,0.00457290792837739,0.1321590542793274,0.15100806951522827
14,adam,0.0469600111246109,0.3254581093788147,1.3788244724273682,11.016732215881348,2.7780597520177253e-05,8.781039650784805e-05,4.336488723754883,0.038830600678920746,0.3455211818218231,1.4536499977111816,11.634681701660156,5.2009758949279785,3.321485757827759,0.1811036318540573,0.1799279898405075,0.5372276306152344,6.2417893409729,2.5551784347044304e-05,0.00011341603385517374,4.354568958282471,0.0,0.0,0.0,0.0,0.00457290792837739,0.1321590542793274,0.15100806951522827
15,adam,0.04360026866197586,0.3169688582420349,1.316293478012085,10.50622844696045,2.6913046895060688e-05,0.00013053353177383542,4.369374752044678,0.03490854799747467,0.3377563953399658,1.3942947387695312,11.202696800231934,4.977677822113037,3.2365636825561523,0.17604240775108337,0.19034694135189056,0.5260514616966248,5.898201942443848,2.5195502530550584e-05,0.00015014542441349477,4.373400688171387,0.0,0.0,0.0,0.0,0.00457290792837739,0.1321590542793274,0.15100806951522827
16,adam,0.04045148938894272,0.31737831234931946,1.2874761819839478,10.098721504211426,2.6627636543707922e-05,0.00015932507812976837,4.375855922698975,0.03278438001871109,0.33787351846694946,1.3813458681106567,11.080638885498047,4.851207256317139,3.241884469985962,0.17787744104862213,0.19718749821186066,0.5497744679450989,5.658231735229492,2.6317124138586223e-05,0.0001662557915551588,4.366971492767334,0.0,0.0,0.0,0.0,0.00457290792837739,0.1321590542793274,0.15100806951522827
17,adam,0.03817871958017349,0.31788915395736694,1.2783012390136719,9.780076026916504,2.6759973479784094e-05,0.00016895994485821575,4.358359336853027,0.030514705926179886,0.3385637104511261,1.3838859796524048,10.487595558166504,4.714417934417725,3.2132716178894043,0.17431199550628662,0.20661458373069763,0.5542800426483154,5.5269904136657715,2.6972624254995026e-05,0.00016959624190349132,4.338649749755859,0.0,0.0,0.0,0.0,0.00457290792837739,0.1321590542793274,0.15100806951522827
18,adam,0.036523960530757904,0.31915488839149475,1.275695562362671,9.593894958496094,2.7192867491976358e-05,0.0001751571981003508,4.320520401000977,0.028698096051812172,0.3380312919616699,1.3204100131988525,9.874329566955566,4.6023149490356445,3.2101540565490723,0.17384590208530426,0.20871245861053467,0.5684747099876404,5.44993257522583,2.8356804250506684e-05,0.00017258926527574658,4.293684482574463,0.0,0.0,0.0,0.0,0.00457290792837739,0.1321590542793274,0.15100806951522827
19,adam,0.03550981730222702,0.3179210424423218,1.2706093788146973,9.40196418762207,2.776176370389294e-05,0.00017540181579533964,4.270995616912842,0.02818562276661396,0.33351272344589233,1.3329817056655884,9.804277420043945,4.549248218536377,3.1914422512054443,0.17112648487091064,0.21190881729125977,0.5707336068153381,5.424350738525391,2.9636647013830952e-05,0.00017454875342082232,4.237415790557861,0.0,0.0,0.0,0.0,0.00457290792837739,0.1321590542793274,0.15100806951522827
20,adam,0.034696679562330246,0.31726062297821045,1.262985110282898,9.27638053894043,2.8345652026473545e-05,0.00017932913033291698,4.210085391998291,0.027667837217450142,0.34050771594047546,1.2982075214385986,9.87552261352539,4.519207954406738,3.1659634113311768,0.167208731174469,0.21480102837085724,0.573618471622467,5.420175075531006,3.084975469391793e-05,0.00018225371604785323,4.173565864562988,0.0,0.0,0.0,0.0,0.003428290830925107,0.12529999017715454,0.13971717655658722
