x,y,gt_c0,mu_h_at_gt_c0,j0_at_gt_c0,gt_c16,mu_h_at_gt_c16,j0_at_gt_c16,gt_c30,mu_h_at_gt_c30,j0_at_gt_c30,gt_c43,mu_h_at_gt_c43,j0_at_gt_c43,gt_c63,mu_h_at_gt_c63,j0_at_gt_c63,gt_c71,mu_h_at_gt_c71,j0_at_gt_c71
1.8311099,38.687588,0.08592603,0.37757325,0.0060807117,0.10686,0.4801495,0.009917716,0.136821,0.56302285,0.016669964,0.1651534,0.59698105,0.02300325,0.44800055,0.1355878,0.019920517,0.6909128,-0.45983446,0.009332259
2.074575,38.61109,0.071048655,0.2698245,0.004006085,0.08863826,0.39366126,0.0065193838,0.12359052,0.53372395,0.013585712,0.14682283,0.5789987,0.018997904,0.4389167,0.1589338,0.020474723,0.67229646,-0.42235714,0.009954849
2.3180404,38.53459,0.060858767,0.17158341,0.0029009876,0.07657422,0.31409574,0.0047111562,0.11504529,0.5089598,0.011662733,0.13886249,0.56668246,0.017148428,0.43735224,0.1629386,0.020571683,0.66418314,-0.4052288,0.010231775
2.5615056,38.458096,0.05514034,0.10470581,0.0023846219,0.06995441,0.26037216,0.0038754768,0.110730335,0.49444103,0.010728838,0.13795772,0.56508696,0.01693648,0.44120705,0.15306222,0.020333584,0.6614039,-0.39925992,0.010327482
1.993373,38.8901,0.05943605,0.15583587,0.0027658555,0.06849056,0.24734521,0.0037053374,0.10995759,0.49168658,0.010564765,0.14174542,0.57149386,0.017822085,0.41023245,0.23143616,0.022321524,0.6491168,-0.37229228,0.010756062
2.2464602,38.80496,0.052146543,0.06554365,0.0021417735,0.05947341,0.15625644,0.002769346,0.103388935,0.4662342,0.00921427,0.13512519,0.5598179,0.016272133,0.41007367,0.23183131,0.022332145,0.6430131,-0.35856682,0.01097246
2.4995472,38.719814,0.047038857,-0.009091377,0.0017680435,0.053369228,0.081914425,0.0022387556,0.100179106,0.4523778,0.008585741,0.13585833,0.5612221,0.016444137,0.41555566,0.21814546,0.021968022,0.636003,-0.34255427,0.011224047
2.17488,39.07532,0.04486656,-0.044264555,0.0016237083,0.045212522,-0.038511753,0.0016461367,0.08920051,0.39687848,0.0066126226,0.12436089,0.53571606,0.013762802,0.37873936,0.3080855,0.024499036,0.65087694,-0.376211,0.010694103
2.4375892,38.981537,0.040929906,-0.11414099,0.0013828409,0.03966338,-0.13850641,0.0013107404,0.08869456,0.39398503,0.0065286835,0.12972035,0.54855835,0.01500619,0.38753358,0.287061,0.023877993,0.62972003,-0.32799017,0.011452447
2.3756309,39.24326,0.039813697,-0.13556242,0.0013191653,0.035830755,-0.2187314,0.0011075553,0.07832305,0.32699203,0.0049503488,0.11553981,0.51053286,0.011771557,0.36142707,0.3484543,0.02573993,0.66690916,-0.411034,0.010138327
1.4549216,37.968254,0.14271435,0.5730195,0.018047702,0.18714017,0.603057,0.026953064,0.19658685,0.6014372,0.028279072,0.20312664,0.5990293,0.02905699,0.5518473,-0.13519548,0.01456669,0.81687,-0.6030296,0.005429264
1.7320184,37.959023,0.118839465,0.5205786,0.0125060715,0.16595949,0.59747803,0.023167007,0.17944826,0.6026038,0.025701584,0.17940234,0.6025958,0.02569367,0.5296117,-0.07750313,0.015576895,0.78219956,-0.59019494,0.006466939
2.0091152,37.949795,0.10025548,0.4527192,0.008600437,0.14255331,0.57276905,0.018010242,0.16059712,0.593734,0.022054981,0.15948191,0.5928229,0.021817341,0.508684,-0.022765927,0.016589308,0.7464115,-0.5521728,0.0075610317
2.286212,37.940563,0.0830691,0.3595574,0.0056387098,0.121439524,0.5279592,0.013094066,0.14444229,0.5756297,0.018448737,0.1463688,0.57837605,0.018893503,0.49343404,0.017214473,0.017368497,0.7227143,-0.5168485,0.008303983
1.5621117,38.218517,0.14271435,0.5730195,0.018047702,0.18714017,0.603057,0.026953064,0.19658685,0.6014372,0.028279072,0.20312664,0.5990293,0.02905699,0.5518473,-0.13519548,0.01456669,0.81687,-0.6030296,0.005429264
1.8483115,38.204044,0.1063924,0.47833705,0.009821583,0.14169788,0.5714177,0.017811008,0.16085733,0.59394,0.022110134,0.16692042,0.59804106,0.023360549,0.49897474,0.002688237,0.017081164,0.74029946,-0.5437374,0.0077510327
2.1345112,38.18957,0.08362997,0.3631842,0.005723852,0.11437806,0.50680757,0.01151646,0.13998581,0.56860626,0.017411277,0.14604376,0.5779247,0.018818662,0.4760942,0.0626081,0.018300287,0.705943,-0.48799372,0.008841241
