concentration,mu_h(c)
0.085926031,-0.059850693
0.071048654,-0.07814884
0.060858766,-0.09546614
0.055140338,-0.11112666
0.05943605,-0.09217429
0.052146544,-0.11003947
0.047038858,-0.12590599
0.044866557,-0.12468076
0.040929906,-0.14066696
0.039813696,-0.1553669
0.142714353,0.025285006
0.118839463,0.0023334026
0.100255479,-0.021877766
0.083069098,-0.046684265
0.142714353,1.859665e-05
0.106392402,-0.02529478
0.083629974,-0.051337004
0.117339152,-0.028430939
0.084005939,-0.055725336
0.051186838,-0.081647635
0.049878135,-0.09455943
0.045736979,-0.11128235
0.038518016,-0.13130498
0.049367395,-0.09235835
0.044572773,-0.10497022
0.039075126,-0.12187171
0.046147235,-0.10334253
0.040973559,-0.11545348
0.044213316,-0.11459708
0.045089931,-0.092268705
0.033941618,-0.11191249
0.021777741,-0.13510847
0.020556879,-0.16104507
0.046044341,-0.10512781
0.03459588,-0.12577605
0.024614825,-0.14981437
0.042799027,-0.11814833
0.033254164,-0.13975978
0.062107197,-0.19656277
0.062107197,-0.1837306
0.043272648,-0.17184663
0.045175706,-0.17066908
0.037065682,-0.15868855
0.023338567,-0.1478169
0.02694625,-0.14548779
0.022251595,-0.13453698
0.015840899,-0.121230364
0.022247985,-0.1573894
0.02359895,-0.1782825
0.028266077,-0.19949532
0.034148001,-0.22090268
0.030246081,-0.17041469
0.044227797,-0.19248343
0.034148001,-0.21487665
0.053418958,-0.18347621
0.069103647,-0.20672655
0.047701209,-0.21896553
0.049828082,-0.20906258
0.039921901,-0.18744588
0.034526634,-0.20403028
0.035383612,-0.1910963
0.034815799,-0.1666627
0.023215958,-0.1883924
0.026503166,-0.17240977
0.023879945,-0.17204165
0.012801384,-0.16719103
0.013275033,-0.16973281
0.014555353,-0.17049718
0.016681132,-0.17042017
0.016082812,-0.18775845
0.016213278,-0.19354701
0.014041773,-0.19656777
0.028328952,-0.20522332
0.035658002,-0.2150619
0.035163167,-0.1232543
0.019543766,-0.14271092
0.040306216,-0.102757215
0.02563207,-0.118347645
0.016193622,-0.14342952
0.034608244,-0.095380545
0.018058422,-0.11722112
0.023823567,-0.09216595
0.136911263,0.098563194
0.104447522,0.07552028
0.072432583,0.050279856
0.053831215,0.022361755
0.140638208,0.078154564
0.110485474,0.05194044
0.080381705,0.022854805
0.142550786,0.054057837
0.115376362,0.023837328
0.029355866,-0.16078639
0.021698106,-0.18586826
0.014900884,-0.21096873
0.012778473,-0.23583078
0.020453386,-0.18066764
0.017272177,-0.20598578
0.013432775,-0.23124671
0.017855338,-0.20071411
0.015313452,-0.2262466
0.0126,-0.25516176
0.0126,-0.23853803
0.014247568,-0.22200727
0.016935096,-0.2055738
0.0126,-0.25704646
0.012846141,-0.24091148
0.014237945,-0.22487593
0.012606225,-0.2588339
0.012931759,-0.24319482
0.0126,-0.2605002
0.021976041,0.090587616
0.047189885,0.09251475
0.092767195,0.095178604
0.04610269,0.11664271
0.087130612,0.11893225
0.132350382,0.12194753
0.073881001,0.14097953
0.130007824,0.14388394
0.101169923,0.16501117
0.016072831,-0.16701627
0.0126,-0.19532251
0.0126,-0.22292781
0.0126,-0.24950838
0.015728386,-0.18974161
0.0126,-0.21838808
0.0126,-0.24623775
0.013502213,-0.21268964
0.0126,-0.24165916
0.0126,-0.22902346
0.0126,-0.208637
0.012665894,-0.18836284
0.0126,-0.25139022
0.0126,-0.23158479
0.0126,-0.21187973
0.0126,-0.25330234
0.0126,-0.2342062
0.0126,-0.25555825
0.0126,-0.25839734
0.0126,-0.26008368
0.012606929,-0.24163508
0.012651052,-0.24343061
0.012685028,-0.24399352
0.013071596,-0.2269206
0.013550226,-0.22762132
0.015455459,-0.21138382
0.050704676,0.15189242
0.04215243,0.15522408
0.045756462,0.15959644
0.048889341,0.17899346
0.036965459,0.1840725
0.03032044,0.19021487
0.046466214,0.20745158
0.037402115,0.2145133
0.055947031,0.23799348
0.0126,-0.24421954
0.0126,-0.24770689
0.0126,-0.25150728
0.0126,-0.23138809
0.0126,-0.23447847
0.0126,-0.23781753
0.0126,-0.21777773
0.0126,-0.22038579
0.0126,-0.20326757
0.031644324,0.2048459
0.049971369,0.21412992
0.082150269,0.22520089
0.073391796,0.23563194
0.10675914,0.24821115
0.113526429,0.2623546
0.094534806,0.26869202
0.117731635,0.28421164
0.117734082,0.30188107
0.0126,-0.19345212
0.0126,-0.207371
0.0126,-0.22063231
0.0126,-0.23361373
0.0126,-0.20979738
0.0126,-0.22341442
0.0126,-0.23640394
0.0126,-0.22671986
0.0126,-0.2400546
0.0126,-0.1854577
0.0126,-0.20039868
0.0126,-0.21593547
0.0126,-0.23269463
0.0126,-0.20093727
0.0126,-0.21567869
0.0126,-0.23110366
0.0126,-0.21697474
0.0126,-0.23153806
0.0126,-0.19572282
0.0126,-0.21192646
0.0126,-0.22969604
0.0126,-0.24934602
0.0126,-0.20776224
0.0126,-0.22384739
0.0126,-0.24153662
0.0126,-0.22006607
0.0126,-0.23603225
0.037395791,0.2489407
0.065442419,0.26511168
0.106759919,0.2828431
0.048750585,0.27336836
0.080258706,0.29281688
0.091843116,0.31310987
0.044154095,0.2933612
0.070297324,0.3152945
0.035959362,0.30589962
0.0126,-0.22180796
0.0126,-0.23857808
0.0126,-0.25664067
0.0126,-0.2760861
0.0126,-0.23093653
0.0126,-0.24769688
0.0126,-0.26575303
0.0126,-0.24010253
0.0126,-0.2568493
0.021111488,-0.24997497
0.020468631,-0.2653551
0.019345895,-0.28170514
0.023368358,-0.2990563
0.013220305,-0.25868964
0.0126,-0.27494025
0.0126,-0.29223633
0.0126,-0.26738715
0.0126,-0.28451705
0.065495419,0.2346201
0.062214144,0.2581706
0.053789897,0.28200626
0.050889412,0.2292211
0.07632054,0.2566123
0.082898669,0.28354454
0.033706555,0.21830344
0.068498922,0.24982929
0.016421397,0.21100831
0.027005407,-0.2830565
0.040662479,-0.26724076
0.053603352,-0.251585
0.023368358,-0.30619454
0.036930077,-0.28967404
0.051372224,-0.27331185
0.034810228,-0.31388927
0.042333725,-0.29679894
0.034810228,-0.32209826
0.057896271,0.100530386
0.038761699,0.1382823
0.028892368,0.17512274
0.045069815,0.09203744
0.065941635,0.1353159
0.08166324,0.17757249
0.051434493,0.112743616
0.08166324,0.16096616
0.064494327,0.16920042
0.025079812,-0.35146713
0.025079812,-0.34235263
0.03771127,-0.3324721
0.03284051,-0.31672573
0.043108047,-0.3086083
0.0501909,-0.29985714
0.044704456,-0.28474903
0.058156008,-0.277668
0.057000304,-0.25549507
0.016223223,0.012417078
0.014054324,0.0646739
0.03150051,0.11709738
0.0126,0.0931406
0.01466334,0.14899707
0.041602685,0.20472217
0.0126,0.20722628
0.0126,0.2645042
0.0126,0.3406334
0.014215888,-0.25533056
0.015303311,-0.29440284
0.015809659,-0.3376212
0.014490738,-0.38493824
0.01551064,-0.2878368
0.01408465,-0.32889843
0.013186344,-0.37403202
0.021710783,-0.31987762
0.015845973,-0.3628168
0.213634442,0.5986681
0.219142794,0.59254026
0.21534068,0.58319163
0.224320726,0.57026315
0.262211924,0.5549207
0.266310272,0.5387471
0.278961678,0.5192481
0.327014868,0.4656043
0.339853927,0.44176877
0.400031318,0.33878583
0.0126,0.18407059
0.0126,0.23607373
0.0126,0.28867865
0.021416687,0.3268721
0.012722982,0.37553835
0.0126,0.42279553
0.056012189,0.46209288
0.044243069,0.5008848
0.088345587,0.56355655
0.102673848,0.47952795
0.100354297,0.51051426
0.109154728,0.5389904
0.127804004,0.56746197
0.122105936,0.5841898
0.125151836,0.5962081
0.151862528,0.60302544
0.127482759,0.6011752
0.365424919,0.39711368
0.377894549,0.37903535
0.39048456,0.3596232
0.420779153,0.2903337
0.435298244,0.27014756
0.454369369,0.24891204
0.477800567,0.17407182
0.505328979,0.15285398
0.551530953,0.05569479
0.551530953,-0.019204075
0.598099775,-0.085330114
0.601745257,-0.14241277
0.517637539,0.085364744
0.550144902,0.012528537
0.574813137,-0.05183938
0.501442615,0.11497663
0.530457056,0.044552222
0.486817094,0.14449936
0.027518722,-0.24083972
0.023109361,-0.29666233
0.015643948,-0.35957384
0.0126,-0.42921448
0.024897901,-0.2901585
0.018795564,-0.35047507
0.0126,-0.41771436
0.019359642,-0.33824492
0.015236067,-0.4029014
0.601745257,-0.19480032
0.60878476,-0.2428495
0.618926494,-0.28660396
0.573297754,-0.087079674
0.579458284,-0.1416893
0.586171462,-0.19196486
0.548673716,-0.029646546
0.554921904,-0.08597767
0.525680525,0.029477943
0.026973281,-0.18651867
0.016537716,-0.26028132
0.014456308,-0.3445468
0.0126,-0.43872118
0.018953501,-0.26777673
0.012688214,-0.3478372
0.0126,-0.4378605
0.013038734,-0.3489294
0.0126,-0.4350748
0.631637943,-0.34039217
0.640992813,-0.38434064
0.646106624,-0.41994756
0.58393571,-0.22722119
0.592442769,-0.28265774
0.596508499,-0.3282538
0.547641077,-0.1624471
0.551484009,-0.21828622
0.514962081,-0.09265125
0.0126,-0.46508074
0.014570887,-0.37502575
0.023228621,-0.28987503
0.032634273,-0.21067429
0.0126,-0.478827
0.015877164,-0.389951
0.023986551,-0.30783606
0.0126,-0.49553037
0.013521165,-0.41041565
0.0126,-0.5170145
0.022098283,-0.15931535
0.014565145,-0.2512486
0.0126,-0.35343766
0.02467006,-0.25024247
0.013111734,-0.34571385
0.0126,-0.4510851
0.016125792,-0.3437302
0.0126,-0.44288754
0.5981987,-0.5105486
0.573953022,-0.43129432
0.539641652,-0.3268339
0.506189024,-0.2010029
0.608155659,-0.4872644
0.579862063,-0.3992051
0.544555919,-0.2859707
0.626435516,-0.45760155
0.586956011,-0.35901856
0.012605595,-0.45500827
0.012867401,-0.40085912
0.013439441,-0.35562563
0.0126,-0.5458863
0.0126,-0.49054718
0.0126,-0.4446373
0.0126,-0.5810311
0.0126,-0.53384995
0.0126,-0.6230953
0.53033731,-0.26984304
0.56036779,-0.37073082
0.593418463,-0.45083207
0.600068955,-0.39422882
0.646635609,-0.4740051
0.658165197,-0.53117025
0.674765453,-0.49167788
0.699341693,-0.5467918
0.701354967,-0.5586374
0.589790909,-0.36696684
0.637252864,-0.45145053
0.689042155,-0.5145303
0.642586001,-0.45956004
0.6929744,-0.5234164
0.702256706,-0.5666766
0.705427038,-0.53011334
0.71384332,-0.5729872
0.735291036,-0.5779005
0.759078676,-0.5808003
0.758951088,-0.5831467
0.765809379,-0.58499
0.729631082,-0.5409179
0.74781052,-0.54361045
0.747965019,-0.5454154
0.695606176,-0.48572868
0.717124646,-0.48682356
0.656676354,-0.4099828
0.0126,-0.7609124
0.0126,-0.7101836
0.0126,-0.66441774
0.0126,-0.68833804
0.0126,-0.6326902
0.0126,-0.5826843
0.0126,-0.6136751
0.0126,-0.5537853
0.0126,-0.5364425
0.785566078,-0.58799326
0.76369965,-0.5545155
0.734368135,-0.5046617
0.698795287,-0.4397539
0.779968781,-0.58699787
0.759166356,-0.5541011
0.730440871,-0.5057756
0.765809379,-0.5859978
0.754174157,-0.5536381
0.013279502,-0.7597952
0.012877477,-0.8297057
0.012770421,-0.89196324
0.01271372,-0.9479604
0.0126,-0.75329256
0.0126,-0.8247969
0.0126,-0.89088225
0.0126,-0.75208807
0.0126,-0.8250387
0.78787136,-0.5910591
0.793626405,-0.5943098
0.800760492,-0.59745824
0.77013526,-0.56185687
0.775046214,-0.56657684
0.781107376,-0.5721475
0.753989465,-0.5215616
0.759753859,-0.5272485
0.737980219,-0.46616232
0.012658296,-0.9935131
0.01280114,-1.000212
0.012813244,-0.9845655
0.01319202,-0.96753883
0.013305428,-0.96469235
0.013080275,-0.93799305
0.013788709,-0.93919706
0.013782016,-0.924896
0.017741346,-0.90511703
0.730297738,-0.48840773
0.76736345,-0.54180527
0.786506964,-0.57789576
0.754005858,-0.54477096
0.789662913,-0.5821233
0.806854601,-0.5999166
0.777013484,-0.5838525
0.806854601,-0.6009784
0.799373614,-0.60113883
0.012927764,-0.87567115
0.012702081,-0.87715673
0.012610571,-0.8804734
0.0126,-0.88370776
0.01295793,-0.91838884
0.012712335,-0.92460155
0.0126,-0.92935157
0.012895394,-0.9577317
0.012613164,-0.96803284
0.774762334,-0.59952533
0.748750764,-0.59600854
0.726707193,-0.58895767
0.730725988,-0.558143
0.689857372,-0.5465665
0.66606508,-0.5273286
0.663048932,-0.442793
0.622500656,-0.40813994
0.597496191,-0.26397437
0.0126,-0.7029774
0.0126,-0.7115681
0.0126,-0.7362628
0.0126,-0.76377654
0.0126,-0.7663624
0.0126,-0.7746532
0.0126,-0.78876114
0.0126,-0.8280177
0.0126,-0.8300395
0.43112977,0.086797774
0.570341738,-0.2291322
0.652829055,-0.47898847
0.530078469,-0.11587547
0.650842896,-0.41763687
0.706198987,-0.57359457
0.60762983,-0.319174
0.678761108,-0.5431926
0.621427471,-0.48127759
0.013559952,-0.5388961
0.012691491,-0.6224234
0.0126,-0.7061777
0.0126,-0.7711592
0.012678082,-0.62311864
0.0126,-0.6966145
0.0126,-0.7585559
0.0126,-0.7008977
0.0126,-0.7528293
0.241516848,0.507348
0.385128474,0.26296997
0.522354049,-0.13163401
0.325338752,0.4416281
0.448030797,0.118448585
0.549654974,-0.31836605
0.40539321,0.3724211
0.429599423,-0.02074448
0.357995447,0.31048244
0.0126,-0.48881698
0.0126,-0.6162503
0.0126,-0.72191334
0.0126,-0.8030102
0.0126,-0.6062834
0.0126,-0.7157676
0.0126,-0.79784656
0.0126,-0.7036865
0.0126,-0.7865088
0.081918792,0.524627
0.154661635,0.60309064
0.396183485,0.5307318
0.03802092,0.5492977
0.364243425,0.602317
0.190666659,0.5223496
0.325182202,0.56961703
0.030020901,0.5997461
0.074978981,0.58719003
0.0126,-0.47822022
0.0126,-0.5986452
0.0126,-0.69457436
0.0126,-0.7678969
0.0126,-0.6054704
0.0126,-0.70954823
0.0126,-0.78902316
0.0126,-0.71643114
0.0126,-0.80050874
0.049381529,0.33359456
0.08012194,0.42841125
0.334578362,0.5220214
0.110560338,0.36548972
0.284429592,0.46099806
0.110456027,0.54542136
0.237630814,0.40111375
0.113515248,0.4939232
0.090191121,0.43922687
0.013396238,-0.44691062
