step,phase,c_loss,e11_loss,e22_loss,e12_loss,allen_cahn_loss,force_balance_loss,k_reg_loss,interp_c_loss,interp_e11_loss,interp_e22_loss,interp_e12_loss,total_loss,test_total_loss,test_c_loss,test_e11_loss,test_e22_loss,test_e12_loss,test_allen_cahn_loss,test_force_balance_loss,test_k_reg_loss,test_interp_c_loss,test_interp_e11_loss,test_interp_e22_loss,test_interp_e12_loss,k_std,k_min,k_max
0,adam,0.09766600208897744,0.47812197093040715,2.0750142412800945,13.087014106012159,0.00019355001483833598,1.7318901538694094e-08,0.005680323208517004,0.09609794857040528,0.48782211061446895,2.1768049655422086,13.542957428962954,7.052411048643051,3.5771260261535645,0.10241725295782089,0.2799803614616394,1.0190386772155762,8.44151496887207,0.00027133524417877197,3.8835690219229946e-08,0.016592873260378838,0.0,0.0,0.0,0.0,0.01844167709350586,0.8487375378608704,0.9181447625160217
1,adam,0.08961397121029516,0.47459173298651175,2.066409568632803,13.077190676043111,0.00034034801665843735,8.8659090792934e-08,0.04350740648806095,0.08633753296829039,0.5005886323990361,2.14232740863677,13.730550335299585,7.000074955724901,3.673614501953125,0.11453840881586075,0.2775023281574249,1.0105960369110107,8.42243480682373,0.0003545709769241512,1.4346534271680866e-07,0.08509090542793274,0.0,0.0,0.0,0.0,0.017845233902335167,0.7197771072387695,0.7875542640686035
2,adam,0.08214512082838243,0.47133526590562635,2.05699037736462,13.063674526829873,0.0003727867236105545,2.3873194220047276e-07,0.16204286366701126,0.07718385876186433,0.4919111805577432,2.207580166478311,13.87961559910928,6.944744879199613,3.7845962047576904,0.12961383163928986,0.2748880386352539,1.0021352767944336,8.40047550201416,0.00034098743344657123,3.498365401810588e-07,0.27125051617622375,0.0,0.0,0.0,0.0,0.01720503345131874,0.570225715637207,0.6363525390625
3,adam,0.07416458740349739,0.46764385988635404,2.046692156022595,13.059537364590552,0.0003259086853734428,5.336361786864854e-07,0.44480488088823134,0.06865793562704517,0.495501801852257,2.188170590708333,13.977005650920253,6.865029012003252,3.9288887977600098,0.14979691803455353,0.2713634669780731,0.9917316436767578,8.375452995300293,0.0002658418961800635,7.265649628607207e-07,0.6700791120529175,0.0,0.0,0.0,0.0,0.015049505978822708,0.42175158858299255,0.48053058981895447
4,adam,0.06681770014186059,0.46470098149391914,2.0331286461122575,13.036804876019877,0.0002349873604778681,9.964927218583574e-07,0.9558241078930516,0.059754562474066214,0.4825862617261948,2.072756786500254,13.393162696592269,6.70345530971404,4.095403671264648,0.17310871183872223,0.268526554107666,0.9755372405052185,8.344286918640137,0.00017972564091905951,1.260452449969307e-06,1.2842094898223877,0.0,0.0,0.0,0.0,0.011888300068676472,0.30723899602890015,0.3545101583003998
5,adam,0.06153767892429905,0.45991786737595836,2.019818509778669,13.039575945946478,0.00015432623753909984,1.710475507641076e-06,1.6180875224451865,0.05290631240894718,0.4751649970008481,2.1267917771493234,13.554515746331983,6.653130731275005,4.231696128845215,0.19300903379917145,0.26594436168670654,0.953248143196106,8.30988883972168,0.00011699934839271009,2.0903555650875205e-06,1.9651713371276855,0.0,0.0,0.0,0.0,0.009168025106191635,0.23488278687000275,0.2718316316604614
6,adam,0.05858309470838116,0.45444957671626923,1.9938774301159767,12.966187600166567,0.00010157946376092431,2.7603679310202772e-06,2.2679034433057232,0.04951796067818519,0.4742859111678216,2.1024980391225507,13.6050933407199,6.584847773275068,4.28842306137085,0.20415201783180237,0.262320876121521,0.9232231378555298,8.269257545471191,7.994372572284192e-05,3.355649141667527e-06,2.565511465072632,0.0,0.0,0.0,0.0,0.007360979914665222,0.19253766536712646,0.222450852394104
7,adam,0.05720110706263973,0.45093917558270113,1.9583085736920756,12.938997945477885,7.200338563228386e-05,4.3755878191258226e-06,2.8102793232087167,0.04793757032002172,0.47023759638109514,2.0639585448849584,13.677858075787944,6.538568312121976,4.271115779876709,0.2074194997549057,0.25968942046165466,0.8832113742828369,8.199268341064453,5.898520248592831e-05,5.014795078750467e-06,3.0451555252075195,0.0,0.0,0.0,0.0,0.0062135374173521996,0.16703638434410095,0.19242486357688904
8,adam,0.05633534214669658,0.444506642318541,1.9099663380653626,12.837906406771753,5.518599596877222e-05,6.1837540376854445e-06,3.2364073107319493,0.04627015285434261,0.45380929304707435,2.0002068665719803,13.425155332011562,6.434462008937713,4.19984245300293,0.20614443719387054,0.25444871187210083,0.8347099423408508,8.097623825073242,4.686757893068716e-05,6.7866335484723095e-06,3.416945219039917,0.0,0.0,0.0,0.0,0.005478553008288145,0.15076985955238342,0.17323490977287292
9,adam,0.05564241724148873,0.435615413611935,1.8534621000289917,12.744707384417135,4.537173452028524e-05,8.008352500426906e-06,3.564495148197297,0.046614869587844415,0.46530147425590024,1.953764223283337,13.60670317372968,6.3712860538113505,4.092539310455322,0.2031186819076538,0.24493750929832458,0.7811163067817688,7.942082405090332,3.949002348235808e-05,8.719290235603694e-06,3.704991340637207,0.0,0.0,0.0,0.0,0.004964649211615324,0.13982146978378296,0.16023334860801697
