concentration,mu_h(c)
0.085926031,0.11137581
0.071048654,0.06797767
0.060858766,0.02772212
0.055140338,-0.00838685
0.05943605,0.066052675
0.052146544,0.025107384
0.047038858,-0.011729956
0.044866557,0.024319887
0.040929906,-0.013249159
0.039813696,-0.012855291
0.142714353,0.23790002
0.118839463,0.18410802
0.100255479,0.12844563
0.083069098,0.07390785
0.142714353,0.20167828
0.106392402,0.14328814
0.083629974,0.08564997
0.117339152,0.15829563
0.084005939,0.09818888
0.051186838,-0.27230453
0.049878135,-0.26645756
0.045736979,-0.26180315
0.038518016,-0.26042485
0.049367395,-0.27268696
0.044572773,-0.26143956
0.039075126,-0.25147676
0.046147235,-0.26976705
0.040973559,-0.25330305
0.044213316,-0.2636025
0.045089931,-0.2703035
0.033941618,-0.27911234
0.021777741,-0.29512691
0.020556879,-0.3183353
0.046044341,-0.2694044
0.03459588,-0.2780962
0.024614825,-0.2946968
0.042799027,-0.2659881
0.033254164,-0.2750187
0.062107197,-0.38668823
0.062107197,-0.3623383
0.043272648,-0.3394382
0.045175706,-0.3618226
0.037065682,-0.3402977
0.023338567,-0.3206141
0.02694625,-0.33854675
0.022251595,-0.32008767
0.015840899,-0.3166468
0.022247985,-0.36836553
0.02359895,-0.3925984
0.028266077,-0.4179387
0.034148001,-0.44440174
0.030246081,-0.37582517
0.044227797,-0.40095663
0.034148001,-0.42745185
0.053418958,-0.38191128
0.069103647,-0.408031
0.047701209,-0.13221502
0.049828082,-0.09209609
0.039921901,-0.053784847
0.034526634,-0.13009238
0.035383612,-0.0912652
0.034815799,-0.052879572
0.023215958,-0.1247015
0.026503166,-0.087396145
0.023879945,-0.116565704
0.012801384,-0.21535683
0.013275033,-0.24392152
0.014555353,-0.26216388
0.016681132,-0.2685218
0.016082812,-0.19345045
0.016213278,-0.21925521
0.014041773,-0.23597264
0.028328952,-0.16526413
0.035658002,-0.18729067
0.035163167,-0.27681136
0.019543766,-0.2817316
0.040306216,-0.28390694
0.02563207,-0.29231954
0.016193622,-0.28499413
0.034608244,-0.29173088
0.018058422,-0.28928232
0.023823567,-0.28096104
0.136911263,0.30355954
0.104447522,0.25842357
0.072432583,0.20778608
0.053831215,0.15211463
0.140638208,0.29366612
0.110485474,0.24044251
0.080381705,0.17991686
0.142550786,0.27292228
0.115376362,0.20892501
0.029355866,-0.39046502
0.021698106,-0.4236033
0.014900884,-0.45795774
0.012778473,-0.49366117
0.020453386,-0.40966678
0.017272177,-0.4434104
0.013432775,-0.4786353
0.017855338,-0.4275849
0.015313452,-0.46222353
0.0126,-0.56398606
0.0126,-0.535516
0.014247568,-0.5075383
0.016935096,-0.47995043
0.0126,-0.5716903
0.012846141,-0.5427711
0.014237945,-0.5144241
0.012606225,-0.5795324
0.012931759,-0.5501592
0.0126,-0.58751416
0.021976041,0.17713189
0.047189885,0.21628809
0.092767195,0.259619
0.04610269,0.22319603
0.087130612,0.26519108
0.132350382,0.30805612
0.073881001,0.2703948
