x,y,c_abs_error_t71
1.8311099,38.687588,0.10433936
2.074575,38.61109,0.08453816
2.3180404,38.53459,0.07803357
2.5615056,38.458096,0.080634296
1.993373,38.8901,0.07722151
2.2464602,38.80496,0.067718804
2.4995472,38.719814,0.06117755
2.17488,39.07532,0.092214346
2.4375892,38.981537,0.06561786
2.3756309,39.24326,0.11930537
1.4549216,37.968254,0.18489093
1.7320184,37.959023,0.15766603
2.0091152,37.949795,0.13086879
2.286212,37.940563,0.11848092
1.5621117,38.218517,0.19928592
1.8483115,38.204044,0.12882465
2.1345112,38.18957,0.10232562
1.6875077,38.458294,0.1501543
1.9828106,38.43858,0.0992555
6.447986,38.965843,0.17840576
6.6878014,39.15118,0.13852859
6.9276166,39.336517,0.094311416
7.167432,39.521854,0.04341367
6.282333,39.28026,0.14308745
6.5301204,39.48429,0.09149593
6.777908,39.68832,0.048032165
6.116679,39.59467,0.10528234
6.372439,39.817398,0.055899084
5.951026,39.909084,0.06847477
7.1331334,38.76385,0.16756791
7.450928,38.849033,0.171953
7.768723,38.934216,0.17055997
8.086518,39.019398,0.15509239
7.144566,39.01652,0.14773518
7.462616,39.10311,0.13242382
7.7806654,39.189705,0.08277407
7.1559987,39.269188,0.090246946
7.4743032,39.357193,0.044811815
8.828586,38.68565,0.12733674
8.578567,38.79061,0.121837914
8.33121,38.90186,0.15132207
8.630538,38.502308,0.1383712
8.381851,38.610413,0.15300375
8.135827,38.724808,0.17387706
8.432491,38.318966,0.15913701
8.185135,38.430214,0.17033464
8.234444,38.135624,0.1727204
8.861869,37.984898,0.16032925
9.05914,38.085526,0.14922288
9.256412,38.186153,0.12675115
9.453683,38.28678,0.1121977
8.850775,38.218483,0.14682937
9.053646,38.328793,0.124726266
9.256516,38.439106,0.10894629
8.83968,38.452065,0.12535286
9.048151,38.57206,0.110343784
3.2379718,39.719036,0.121205926
2.9353228,39.58808,0.124539554
2.6478758,39.42949,0.13819432
3.2805686,39.388187,0.08576417
2.9855206,39.243416,0.06645608
2.7056746,39.071003,0.04730761
3.3231654,39.057343,0.05711174
3.0357187,38.89875,0.039675653
3.3657625,38.726494,0.08895117
4.1614065,38.9873,0.13848498
4.279971,39.32223,0.14581949
4.3985353,39.657166,0.16085476
4.5171,39.992096,0.165652
3.8535948,39.231213,0.10762757
3.9660122,39.58669,0.13901943
4.0784297,39.942165,0.16318154
3.5457833,39.475124,0.10825753
3.6520536,39.851143,0.14229763
5.477366,39.97626,0.09661135
4.999391,40.003933,0.16442034
5.7606454,39.515438,0.13847512
5.284828,39.562862,0.16311535
4.804695,39.570778,0.17467201
5.5702653,39.12179,0.1897209
5.09229,39.14946,0.1962381
5.379885,38.728146,0.21788627
1.1737292,36.94111,0.25911933
1.4947075,37.00582,0.21382838
1.8156857,37.070534,0.16075045
2.1366642,37.135246,0.13791525
1.2398866,37.29027,0.2682591
1.5746516,37.351593,0.19531351
1.9094166,37.412914,0.14047706
1.3336174,37.632652,0.24845636
1.6821691,37.690586,0.17238808
9.326107,37.456306,0.18341812
9.599195,37.529343,0.1724557
9.872282,37.60238,0.16315624
10.14537,37.67542,0.13853973
9.368632,37.73313,0.16573319
9.642258,37.805965,0.15224487
9.915883,37.8788,0.14492536
9.411158,38.009956,0.14238009
9.685321,38.082584,0.13054973
11.564095,36.468864,0.10648438
11.494565,36.253357,0.15878627
11.4250345,36.03785,0.19197455
11.355504,35.822342,0.20922765
11.735493,36.345623,0.11741942
11.667287,36.13195,0.17236546
11.599081,35.918278,0.20971623
11.909539,36.22605,0.14001375
11.842658,36.014214,0.19303831
12.086235,36.11015,0.17358816
2.1219835,35.912125,0.22727948
1.8058988,36.25512,0.22129732
1.4898139,36.598114,0.2232356
1.7350696,35.79215,0.23319656
1.4223251,36.134678,0.23418576
1.1095805,36.47721,0.25260133
1.3481557,35.672176,0.22660345
1.0387514,36.01424,0.23805636
0.9612417,35.5522,0.2197789
9.966084,36.761005,0.1974197
10.282975,36.847897,0.17974079
10.599866,36.934788,0.15682662
10.916758,37.021683,0.12499726
10.025846,37.065807,0.18427807
10.344675,37.155262,0.15737063
10.663505,37.24472,0.12255031
10.085608,37.370613,0.16301498
10.406375,37.46263,0.12553892
10.833222,36.774853,0.15561801
10.749686,36.528023,0.17838868
10.666151,36.281197,0.1967569
11.128115,36.831535,0.1092864
11.04679,36.587643,0.15376699
10.965466,36.34375,0.18396348
11.343894,36.647263,0.10236895
11.26478,36.406307,0.1552985
12.52616,35.69359,0.1631633
12.388285,35.843197,0.16159973
12.241643,35.98205,0.17845204
12.307179,35.604115,0.16209394
12.164921,35.748344,0.1777502
12.013896,35.88182,0.1857813
12.0882,35.51464,0.17904791
11.941558,35.653492,0.19392318
11.869219,35.425167,0.18179142
2.0759482,34.463024,0.23258394
1.7043794,34.82608,0.21637428
1.3328105,35.18914,0.21516412
1.6320688,34.238457,0.22031051
1.2548895,34.602432,0.2120893
0.8777102,34.966408,0.20698118
1.1881893,34.013893,0.20968527
0.8053996,34.378784,0.19835198
0.74430984,33.789326,0.18279564
13.059776,35.122444,0.1258218
12.878378,35.308624,0.12898225
12.700506,35.499004,0.13484436
12.815469,35.037327,0.13747716
12.635834,35.22561,0.14081153
12.459724,35.41809,0.14859873
12.571161,34.95221,0.14296392
12.39329,35.14259,0.15091807
12.326854,34.867092,0.14694479
2.166426,32.728203,0.20258635
1.6923873,33.081913,0.18305302
1.2183486,33.43562,0.18078107
1.6512784,32.432735,0.16845638
1.1706712,32.78705,0.17016703
0.6900641,33.141365,0.12777108
1.1361307,32.137264,0.19226474
0.6489551,32.492188,0.13595665
0.62098294,31.841797,0.15277565
12.921279,34.1687,0.11962417
13.2176,34.242,0.11946422
13.513921,34.3153,0.120107055
13.810242,34.3886,0.11985719
12.967444,34.486618,0.12503096
13.263388,34.55922,0.11839777
13.559331,34.631824,0.10678938
13.01361,34.80453,0.12990192
13.3091755,34.87644,0.1144658
13.591622,33.38472,0.1006822
13.933412,33.445305,0.09338009
14.275202,33.50589,0.07696989
14.616991,33.56648,0.04538226
13.664495,33.719345,0.118548125
14.007419,33.781197,0.11743507
14.350342,33.843044,0.07801762
13.737369,34.053974,0.13418287
14.081426,34.117085,0.11930424
14.400628,32.71706,0.06605619
14.700843,32.77092,0.06866896
15.001058,32.824783,0.07543251
15.301272,32.878647,0.083658785
14.472749,33.0002,0.06237629
14.771416,33.052834,0.06501886
15.070083,33.10547,0.06318927
14.54487,33.283337,0.057305217
14.8419895,33.334747,0.045956552
2.199348,30.855951,0.19286102
1.6732264,31.184566,0.17155868
1.1471046,31.513182,0.19162244
1.670961,30.533825,0.18714345
1.1384655,30.86253,0.21396065
0.60597,31.191233,0.18119425
1.142574,30.211699,0.23049933
0.6037047,30.540491,0.19637889
0.6141869,29.889572,0.21748936
15.138894,32.214714,0.08211765
15.37001,32.272934,0.08297843
15.601127,32.331158,0.08618614
15.832242,32.38938,0.10107261
15.19302,32.436024,0.076946855
15.42317,32.4934,0.07982814
15.65332,32.550777,0.086651444
15.247147,32.657333,0.07748422
15.47633,32.713863,0.08397803
15.649534,31.891598,0.09502894
15.833046,31.91312,0.10112578
16.016558,31.934645,0.10338053
16.20007,31.95617,0.10488173
15.710437,32.057526,0.09960398
15.90054,32.084446,0.104394704
16.090645,32.111366,0.11797178
15.771339,32.223454,0.095458984
15.968035,32.255768,0.09816399
2.2797499,28.991318,0.21328378
1.7245623,29.290735,0.21059775
1.1693746,29.590153,0.24518484
1.7599926,28.64095,0.23016644
1.198614,28.93994,0.26041788
0.6372354,29.23893,0.24242705
1.2402353,28.290583,0.27751023
0.6726658,28.589144,0.2601084
0.72047794,27.940216,0.27283365
16.072948,31.767452,0.096661
15.945827,31.578735,0.09648758
15.818705,31.39002,0.09039432
16.312374,31.782137,0.09998056
16.185835,31.594013,0.092968434
16.059298,31.40589,0.095392525
16.425846,31.609291,0.09043121
16.29989,31.42176,0.08760983
16.540483,31.437632,0.08964172
2.4302886,27.107105,0.15848261
1.8603517,27.38481,0.19288999
1.2904148,27.662512,0.24782705
1.9325256,26.73807,0.16978735
1.356562,27.014824,0.16077179
0.7805984,27.291578,0.1277768
1.4347628,26.369036,0.20450139
0.8527724,26.64484,0.14040726
0.937,26.0,0.24662292
16.958448,30.716629,0.09912363
16.825024,30.960714,0.09599236
16.685701,31.201048,0.09039751
16.665253,30.70676,0.09362993
16.52888,30.948969,0.08788824
16.386608,31.187428,0.08615187
16.372057,30.696892,0.09482071
16.232735,30.937225,0.09249744
16.078861,30.687023,0.10004315
2.6549435,25.223146,0.15835065
2.0822957,25.482098,0.18988484
1.5096478,25.741049,0.2376234
2.188097,24.841393,0.1780467
1.6106178,25.099352,0.22951174
1.0331384,25.357311,0.25518066
1.7212508,24.459639,0.23831552
1.1389399,24.716606,0.21605498
1.2544043,24.077885,0.22869754
16.421799,29.755676,0.115368426
16.779427,29.748188,0.11502302
17.137056,29.7407,0.10626879
17.494684,29.733212,0.07153702
16.600681,30.075993,0.112228185
16.956474,30.067392,0.1092045
17.312267,30.058792,0.08151722
16.779564,30.39631,0.101283014
17.133522,30.386599,0.099253416
3.0792994,20.171354,0.09905124
2.7153385,20.300205,0.11043042
2.3513775,20.429056,0.13311422
1.9874164,20.557907,0.13038343
2.8016775,19.89823,0.10105288
2.4381468,20.02715,0.108820975
2.0746162,20.156069,0.09875518
2.5240557,19.625105,0.10968304
2.1609554,19.754093,0.112128794
2.2464337,19.35198,0.123526394
2.8843775,23.369287,0.20026386
2.3410532,23.605486,0.23639262
1.7977288,23.841686,0.25968343
2.4684913,22.972748,0.23287344
1.9225723,23.208395,0.2795673
1.3766532,23.444044,0.25814706
2.0526052,22.576206,0.23808587
1.5040914,22.811304,0.25422615
1.6367188,22.179667,0.20693141
3.0128005,21.665962,0.14355117
2.5541067,21.837196,0.16644526
2.0954127,22.008432,0.18245041
2.6710057,21.29661,0.1466983
2.2118933,21.467733,0.17881006
1.7527809,21.638857,0.17985678
2.329211,20.92726,0.1648882
1.8696802,21.09827,0.18581581
3.0781326,19.06455,0.07592416
2.8008997,19.16036,0.09186661
2.5236669,19.25617,0.11152768
2.8637395,18.86126,0.09335685
2.5862007,18.957045,0.108584285
2.3086617,19.05283,0.13122416
2.6493464,18.657967,0.107352555
2.3715014,18.753729,0.11967313
2.4349532,18.454676,0.10978395
2.4876964,18.216167,0.08920032
2.5571673,17.983292,0.08240777
2.643366,17.756048,0.075372815
2.65789,18.412807,0.104038775
2.718997,18.177116,0.09979254
2.7968318,17.947056,0.0967747
2.8808267,18.370941,0.10653263
2.9502976,18.138065,0.1083079
3.1037633,18.329073,0.10699934
16.894823,28.543072,0.108813465
17.358011,28.512974,0.10541433
17.821198,28.482878,0.09953904
18.284386,28.45278,0.089909196
17.094778,28.939785,0.11650115
17.562815,28.912497,0.111373186
18.030853,28.885208,0.108555615
17.294731,29.336498,0.105938286
17.767618,29.31202,0.08062598
2.758639,17.512957,0.048203945
2.872948,17.269396,0.046500742
2.9862928,17.025364,0.051950157
2.9343457,17.760855,0.087105036
3.0491366,17.517529,0.070228815
3.1629636,17.273731,0.054790497
3.2253256,17.765661,0.0885573
3.3396344,17.5221,0.06732893
3.5163052,17.770468,0.082538545
17.431309,27.009161,0.09744072
17.985912,26.940346,0.094640225
18.540514,26.87153,0.11820766
19.095118,26.802715,0.1599597
17.715668,27.490368,0.08878565
18.27424,27.423737,0.09113979
18.832813,27.357107,0.11432037
18.000027,27.971573,0.08529091
18.562569,27.90713,0.083566785
3.1318502,16.69378,0.03492999
3.2879746,16.367384,0.026110351
3.454666,16.04617,0.022326112
3.3697913,17.008385,0.045247555
3.520632,16.679396,0.029492855
3.68204,16.355589,0.020779729
3.7532897,16.991407,0.042799115
3.909414,16.665009,0.026436448
4.1367884,16.974428,0.043545783
19.900255,25.199503,0.23301485
19.612156,24.829296,0.21111327
19.324057,24.459091,0.19311568
19.035957,24.088886,0.18387398
20.10933,24.771168,0.22466302
19.81634,24.398634,0.19544613
19.52335,24.026098,0.17783722
20.308622,24.338175,0.18656269
20.010742,23.963312,0.17074123
20.498135,23.900524,0.15192628
18.220798,25.420376,0.13561717
18.780617,25.346752,0.17200783
19.340437,25.273127,0.20177335
18.512238,25.881155,0.14067388
19.070036,25.806412,0.18194634
19.627832,25.731668,0.21711606
18.803679,26.341936,0.15010613
19.359453,26.266073,0.18112361
4.1849303,14.782154,0.018776596
4.4284515,15.157156,0.017642617
4.671973,15.532158,0.0057953596
4.9154944,15.907159,0.006993115
3.935175,15.199855,0.015318096
4.1818633,15.576675,0.012304723
4.4285517,15.953496,0.003297031
3.6917536,15.621193,0.01628822
3.9416087,15.999833,0.016207278
20.261969,23.594294,0.15600646
20.025803,23.288061,0.1498262
19.789637,22.98183,0.13810596
20.667843,23.588467,0.1502657
20.432922,23.283232,0.15653026
