concentration,j_0(c)
0.085926031,1.710833e-09
0.071048654,1.71671e-09
0.060858766,1.7225535e-09
0.055140338,1.7283506e-09
0.05943605,1.6985587e-09
0.052146544,1.704892e-09
0.047038858,1.7112003e-09
0.044866557,1.6874646e-09
0.040929906,1.6942867e-09
0.039813696,1.6776076e-09
0.142714353,1.7563272e-09
0.118839463,1.7577381e-09
0.100255479,1.7595393e-09
0.083069098,1.7613984e-09
0.142714353,1.7401142e-09
0.106392402,1.7421479e-09
0.083629974,1.7443391e-09
0.117339152,1.7249924e-09
0.084005939,1.7274817e-09
0.051186838,1.9207071e-09
0.049878135,1.9344206e-09
0.045736979,1.9448856e-09
0.038518016,1.9514486e-09
0.049367395,1.8924227e-09
0.044572773,1.9058937e-09
0.039075126,1.915861e-09
0.046147235,1.8645776e-09
0.040973559,1.8777848e-09
0.044213316,1.8371799e-09
0.045089931,1.9899795e-09
0.033941618,2.0083357e-09
0.021777741,2.021409e-09
0.020556879,2.0288256e-09
0.046044341,1.9777082e-09
0.03459588,1.994047e-09
0.024614825,2.0049786e-09
0.042799027,1.9648676e-09
0.033254164,1.9791464e-09
0.062107197,2.0704183e-09
0.062107197,2.0587676e-09
0.043272648,2.0448498e-09
0.045175706,2.083041e-09
0.037065682,2.0685476e-09
0.023338567,2.0518884e-09
0.02694625,2.0921367e-09
0.022251595,2.0748174e-09
0.015840899,2.0976003e-09
0.022247985,2.1294952e-09
0.02359895,2.1237503e-09
0.028266077,2.1153779e-09
0.034148001,2.1044875e-09
0.030246081,2.110076e-09
0.044227797,2.102558e-09
0.034148001,2.0922597e-09
0.053418958,2.0903765e-09
0.069103647,2.0810353e-09
0.047701209,1.6580078e-09
0.049828082,1.6603992e-09
0.039921901,1.6673626e-09
0.034526634,1.6770537e-09
0.035383612,1.6812504e-09
0.034815799,1.6897581e-09
0.023215958,1.6966387e-09
0.026503166,1.7026237e-09
0.023879945,1.7167662e-09
0.012801384,1.726562e-09
0.013275033,1.7178808e-09
0.014555353,1.7116563e-09
0.016681132,1.7075282e-09
0.016082812,1.7014871e-09
0.016213278,1.6895372e-09
0.014041773,1.6801986e-09
0.028328952,1.6787208e-09
0.035658002,1.6636366e-09
0.035163167,1.791043e-09
0.019543766,1.7466434e-09
0.040306216,1.8339763e-09
0.02563207,1.7872919e-09
0.016193622,1.745113e-09
0.034608244,1.8293468e-09
0.018058422,1.7842504e-09
0.023823567,1.824935e-09
0.136911263,1.8274866e-09
0.104447522,1.8216447e-09
0.072432583,1.8175941e-09
0.053831215,1.8146101e-09
0.140638208,1.8025458e-09
0.110485474,1.7979355e-09
0.080381705,1.7948116e-09
0.142550786,1.778794e-09
0.115376362,1.7753652e-09
0.029355866,2.180457e-09
0.021698106,2.1741242e-09
0.014900884,2.1636746e-09
0.012778473,2.149387e-09
0.020453386,2.1561408e-09
0.017272177,2.147715e-09
0.013432775,2.1353332e-09
0.017855338,2.1308013e-09
0.015313452,2.1203659e-09
0.0126,2.20961e-09
0.0126,2.238573e-09
0.014247568,2.2668334e-09
