step,phase,c_loss,e11_loss,e22_loss,e12_loss,allen_cahn_loss,force_balance_loss,k_reg_loss,interp_c_loss,interp_e11_loss,interp_e22_loss,interp_e12_loss,total_loss,test_total_loss,test_c_loss,test_e11_loss,test_e22_loss,test_e12_loss,test_allen_cahn_loss,test_force_balance_loss,test_k_reg_loss,test_interp_c_loss,test_interp_e11_loss,test_interp_e22_loss,test_interp_e12_loss
0,adam,0.10745550595944928,0.5059855916807728,2.0710379538997525,13.055442348603279,6.678423049731552e-06,2.574211410341553e-08,5.812366315137385e-05,0.0,0.0,0.0,0.0,16.795867150829686,10.457422256469727,0.08232977241277695,0.28233885765075684,1.0242201089859009,8.435996055603027,3.400281229914981e-06,2.891982475716759e-08,1.5062471902638208e-05,0.0,0.0,0.0,0.0
1,adam,0.10637077304624742,0.4945384148628481,2.0724346060906687,13.0883483271445,9.082924260573851e-06,7.14537091860459e-08,5.711389559887574e-06,0.0,0.0,0.0,0.0,16.819488248517438,10.419756889343262,0.08302563428878784,0.2785360515117645,1.0190285444259644,8.408676147460938,4.121023266634438e-06,8.29626500831182e-08,7.11000211595092e-07,0.0,0.0,0.0,0.0
2,adam,0.10546317744639612,0.4849740324481841,2.0624122811901953,12.988314505546324,1.0948201282101969e-05,2.452773018955756e-07,3.5981304473543495e-07,0.0,0.0,0.0,0.0,16.69216977396319,10.367436408996582,0.08464302867650986,0.2775782644748688,1.0091111660003662,8.36844253540039,6.906917860760586e-06,3.179219447702053e-07,3.169781734868593e-07,0.0,0.0,0.0,0.0
3,adam,0.10369532843751292,0.47815501305364794,2.041549978717681,12.906197917076849,1.3024899500681297e-05,8.245922152406321e-07,3.442119856528382e-07,0.0,0.0,0.0,0.0,16.57283786035353,10.264498710632324,0.08733326941728592,0.2766127586364746,0.989454448223114,8.28958511352539,9.365882760903332e-06,1.0893467106143362e-06,3.7478042713701143e-07,0.0,0.0,0.0,0.0
4,adam,0.10105866626385719,0.4752913501954848,2.011797458894791,12.822419751075007,1.29796881669937e-05,2.3658857931114917e-06,3.3854945697033057e-07,0.0,0.0,0.0,0.0,16.444057003144295,10.077342987060547,0.09112865477800369,0.27455535531044006,0.951858401298523,8.150415420532227,9.496895472693723e-06,3.3989138046308653e-06,3.066110139116063e-07,0.0,0.0,0.0,0.0
5,adam,0.09840306855978505,0.47109434200871375,1.9513076313080326,12.632121332230106,1.051386507535954e-05,6.7887533165752935e-06,2.442524398079073e-07,0.0,0.0,0.0,0.0,16.166087888902233,9.739006996154785,0.09507011622190475,0.27037063241004944,0.884914755821228,7.901443958282471,7.621466465934645e-06,1.043493284669239e-05,2.072233229455378e-07,0.0,0.0,0.0,0.0
6,adam,0.09585719675787034,0.46452822031513336,1.8494415437021563,12.304979662741385,7.743979494989617e-06,1.9476606623004868e-05,1.6726187322635062e-07,0.0,0.0,0.0,0.0,15.69511188999299,9.20509147644043,0.09842487424612045,0.26429736614227295,0.778023898601532,7.510901927947998,5.724450147681637e-06,3.139871478197165e-05,1.498668069643827e-07,0.0,0.0,0.0,0.0
7,adam,0.09375803340827266,0.4555385180058018,1.7015983097014888,11.800621063478532,5.68036605933054e-06,5.4985442763990574e-05,1.246577582950551e-07,0.0,0.0,0.0,0.0,14.986590200854886,8.501169204711914,0.10067389905452728,0.25814878940582275,0.6473343372344971,6.9806952476501465,4.32881097367499e-06,8.446929132333025e-05,1.0469125300005544e-07,0.0,0.0,0.0,0.0
8,adam,0.09169630514037225,0.4487123748948497,1.5310133695602417,11.141387324179373,4.350345314437178e-06,0.00012917249747965064,1.0229880678758901e-07,0.0,0.0,0.0,0.0,14.09825974126016,7.780622959136963,0.10129070281982422,0.2541746199131012,0.5402137637138367,6.403534889221191,3.4733077427517856e-06,0.00016394547128584236,1.1284938494782182e-07,0.0,0.0,0.0,0.0
9,adam,0.08825507135160508,0.44477489109962215,1.404272129458766,10.540177745203819,3.801252960916064e-06,0.00021160949273185144,9.539082160729101e-08,0.0,0.0,0.0,0.0,13.325046108615014,7.272701740264893,0.10082810372114182,0.25393155217170715,0.49659326672554016,5.96278715133667,3.4394975045870524e-06,0.00020356022287160158,9.930643329880695e-08,0.0,0.0,0.0,0.0
10,adam,0.08344114908287602,0.45039630993720026,1.3432643144361434,10.131510242339104,3.9580389922423734e-06,0.00023493331184821023,1.0021578405837406e-07,0.0,0.0,0.0,0.0,12.827898394676946,7.022700309753418,0.1003095805644989,0.2585470974445343,0.4954565167427063,5.722369194030762,3.902594926330494e-06,0.0002046026347670704,1.0872874867118298e-07,0.0,0.0,0.0,0.0
11,adam,0.07877399940644542,0.4556214271053191,1.318624173441241,9.863109773205172,4.196191668832457e-06,0.00026224121533995195,1.0590433373269456e-07,0.0,0.0,0.0,0.0,12.521353813909716,6.892863750457764,0.10081333667039871,0.26316168904304504,0.5033117532730103,5.58222770690918,4.2388987822050694e-06,0.00022096012253314257,1.257976265378602e-07,0.0,0.0,0.0,0.0
12,adam,0.07464308628151493,0.46091526169930735,1.3152138840767644,9.679488643523186,4.159475983831198e-06,0.00028401810390454147,1.0291389544143444e-07,0.0,0.0,0.0,0.0,12.328440604671355,6.836015224456787,0.10232614725828171,0.2677358090877533,0.5117537379264832,5.5084099769592285,4.157947387284366e-06,0.00024456033133901656,9.919455834506152e-08,0.0,0.0,0.0,0.0
13,adam,0.07180840810460429,0.4636534558188531,1.3106403773830784,9.544113712926064,3.675887866495853e-06,0.00030989448292060727,9.148403577338257e-08,0.0,0.0,0.0,0.0,12.184697581875708,6.7705817222595215,0.1068015769124031,0.2676074802875519,0.5164617896080017,5.429170608520508,3.8346138353517745e-06,0.0002813370374497026,1.0648749082520226e-07,0.0,0.0,0.0,0.0
14,adam,0.06934853498974154,0.4677204980004218,1.3129696499916814,9.467263098685972,3.1997906042365243e-06,0.0003261076757729414,8.373256072731707e-08,0.0,0.0,0.0,0.0,12.110550142103627,6.756521224975586,0.110379658639431,0.26918503642082214,0.52457195520401,5.398054122924805,3.45794592249149e-06,0.0002981371362693608,7.790596612267109e-08,0.0,0.0,0.0,0.0
15,adam,0.06732559204101562,0.4676088700371404,1.3201281447564401,9.39342224982477,2.7834877484213304e-06,0.0003515685609947409,7.636468570038438e-08,0.0,0.0,0.0,0.0,12.043347727867864,6.77127742767334,0.11302031576633453,0.2710370123386383,0.5340947508811951,5.394822120666504,3.1136796678765677e-06,0.00030824640998616815,7.676848667870217e-08,0.0,0.0,0.0,0.0
16,adam,0.06528671266090486,0.469598074113169,1.327782561702113,9.368348029352003,2.4530806967959506e-06,0.00036951591215667225,7.16325772032178e-08,0.0,0.0,0.0,0.0,12.028694521996282,6.794009685516357,0.11571000516414642,0.27278056740760803,0.5420681238174438,5.401340961456299,2.841778041329235e-06,0.0003160613414365798,7.998151119181784e-08,0.0,0.0,0.0,0.0
17,adam,0.06419809102531403,0.4699387906059142,1.3254465518459198,9.294484846053585,2.1508802517693707e-06,0.00038251059219962167,6.735786271402474e-08,0.0,0.0,0.0,0.0,11.94965350243353,6.748354434967041,0.1234486848115921,0.2705692648887634,0.5422363877296448,5.346799850463867,2.60494084614038e-06,0.00033741266815923154,6.987389156165591e-08,0.0,0.0,0.0,0.0
18,adam,0.06195847485815325,0.46960817421636275,1.3249330443720664,9.257649298637144,1.940720714570019e-06,0.00039591638074677076,6.412077280607087e-08,0.0,0.0,0.0,0.0,11.90967107588245,6.771358966827393,0.126239612698555,0.2722882926464081,0.5454378724098206,5.360589981079102,2.3932427666295553e-06,0.0003351469349581748,6.817550257665062e-08,0.0,0.0,0.0,0.0
19,adam,0.060197836328898705,0.470516110620191,1.3234666432103803,9.217570274106917,1.754556673140248e-06,0.00040364521273952576,6.127504571124167e-08,0.0,0.0,0.0,0.0,11.865928803720783,6.775860786437988,0.13144387304782867,0.27395039796829224,0.5483849048614502,5.354086399078369,2.2390606773114996e-06,0.0003337179950904101,5.7989261392776825e-08,0.0,0.0,0.0,0.0
