x,y,c_abs_error_t71
1.8311099,38.687588,0.21195403
2.074575,38.61109,0.19499597
2.3180404,38.53459,0.18823072
2.5615056,38.458096,0.18650857
1.993373,38.8901,0.18462813
2.2464602,38.80496,0.17981505
2.4995472,38.719814,0.17377216
2.17488,39.07532,0.20038015
2.4375892,38.981537,0.18009824
2.3756309,39.24326,0.2297821
1.4549216,37.968254,0.2927763
1.7320184,37.959023,0.26379907
2.0091152,37.949795,0.23349428
2.286212,37.940563,0.2150383
1.5621117,38.218517,0.30750865
1.8483115,38.204044,0.23677409
2.1345112,38.18957,0.20795852
1.6875077,38.458294,0.25827903
1.9828106,38.43858,0.20874166
6.447986,38.965843,0.25460112
6.6878014,39.15118,0.216272
6.9276166,39.336517,0.17233983
7.167432,39.521854,0.120792985
6.282333,39.28026,0.22657442
6.5301204,39.48429,0.17653474
6.777908,39.68832,0.13295192
6.116679,39.59467,0.19679156
6.372439,39.817398,0.14877594
5.951026,39.909084,0.168681
7.1331334,38.76385,0.23545253
7.450928,38.849033,0.23832235
7.768723,38.934216,0.2354207
8.086518,39.019398,0.21849108
7.144566,39.01652,0.21902373
7.462616,39.10311,0.20173407
7.7806654,39.189705,0.15008026
7.1559987,39.269188,0.16473371
7.4743032,39.357193,0.11674079
8.828586,38.68565,0.18331462
8.578567,38.79061,0.18024266
8.33121,38.90186,0.21213007
8.630538,38.502308,0.19413844
8.381851,38.610413,0.2109637
8.135827,38.724808,0.23421624
8.432491,38.318966,0.21387213
8.185135,38.430214,0.22727522
8.234444,38.135624,0.22609055
8.861869,37.984898,0.2099796
9.05914,38.085526,0.19903243
9.256412,38.186153,0.1760262
9.453683,38.28678,0.15986249
8.850775,38.218483,0.19891605
9.053646,38.328793,0.17662713
9.256516,38.439106,0.15968385
8.83968,38.452065,0.17958692
9.048151,38.57206,0.16385004
3.2379718,39.719036,0.24705687
2.9353228,39.58808,0.24594295
2.6478758,39.42949,0.25368306
3.2805686,39.388187,0.20793167
2.9855206,39.243416,0.18750343
2.7056746,39.071003,0.16510853
3.3231654,39.057343,0.16716135
3.0357187,38.89875,0.15080217
3.3657625,38.726494,0.1809333
4.1614065,38.9873,0.21771899
4.279971,39.32223,0.24037653
4.3985353,39.657166,0.26794562
4.5171,39.992096,0.28243905
3.8535948,39.231213,0.2088255
3.9660122,39.58669,0.25265127
4.0784297,39.942165,0.28512955
3.5457833,39.475124,0.22828063
3.6520536,39.851143,0.2685742
5.477366,39.97626,0.20328209
4.999391,40.003933,0.2761532
5.7606454,39.515438,0.23039827
5.284828,39.562862,0.25813124
4.804695,39.570778,0.27283153
5.5702653,39.12179,0.27006698
5.09229,39.14946,0.27602133
5.379885,38.728146,0.28368098
1.1737292,36.94111,0.3751132
1.4947075,37.00582,0.31526786
1.8156857,37.070534,0.24987733
2.1366642,37.135246,0.21503216
1.2398866,37.29027,0.3784327
1.5746516,37.351593,0.2964658
1.9094166,37.412914,0.23339397
1.3336174,37.632652,0.35628366
1.6821691,37.690586,0.2756377
9.326107,37.456306,0.22562903
9.599195,37.529343,0.21352571
9.872282,37.60238,0.20153666
10.14537,37.67542,0.17191488
9.368632,37.73313,0.21040669
9.642258,37.805965,0.19497374
9.915883,37.8788,0.18364856
9.411158,38.009956,0.18899748
9.685321,38.082584,0.17402461
11.564095,36.468864,0.09594366
11.494565,36.253357,0.15360245
11.4250345,36.03785,0.19167429
11.355504,35.822342,0.21333104
11.735493,36.345623,0.100913584
11.667287,36.13195,0.16174725
11.599081,35.918278,0.2046634
11.909539,36.22605,0.11744994
11.842658,36.014214,0.17687583
12.086235,36.11015,0.144912
2.1219835,35.912125,0.27824372
1.8058988,36.25512,0.30137008
1.4898139,36.598114,0.32522076
1.7350696,35.79215,0.3174079
1.4223251,36.134678,0.34389752
1.1095805,36.47721,0.37971997
1.3481557,35.672176,0.34466475
1.0387514,36.01424,0.37614936
0.9612417,35.5522,0.36433566
9.966084,36.761005,0.22887307
10.282975,36.847897,0.20749974
10.599866,36.934788,0.17806551
10.916758,37.021683,0.13608027
10.025846,37.065807,0.21712083
10.344675,37.155262,0.1851159
10.663505,37.24472,0.14158294
10.085608,37.370613,0.19670755
10.406375,37.46263,0.1520733
10.833222,36.774853,0.17037997
10.749686,36.528023,0.1957503
10.666151,36.281197,0.2159361
11.128115,36.831535,0.11347112
11.04679,36.587643,0.16234106
