concentration,j_0(c)
0.085926031,4.9077715e-09
0.071048654,4.895704e-09
0.060858766,4.883518e-09
0.055140338,4.871174e-09
0.05943605,4.8915414e-09
0.052146544,4.878841e-09
0.047038858,4.8659716e-09
0.044866557,4.8742743e-09
0.040929906,4.860864e-09
0.039813696,4.85586e-09
0.142714353,4.951539e-09
0.118839463,4.936343e-09
0.100255479,4.9209343e-09
0.083069098,4.905271e-09
0.142714353,4.937899e-09
0.106392402,4.922043e-09
0.083629974,4.905917e-09
0.117339152,4.9233435e-09
0.084005939,4.906754e-09
0.051186838,4.5795523e-09
0.049878135,4.5531445e-09
0.045736979,4.5264312e-09
0.038518016,4.499229e-09
0.049367395,4.5746527e-09
0.044572773,4.5462847e-09
0.039075126,4.5175383e-09
0.046147235,4.5704263e-09
0.040973559,4.5401234e-09
0.044213316,4.566844e-09
0.045089931,4.5449537e-09
0.033941618,4.5194786e-09
0.021777741,4.4936352e-09
0.020556879,4.4670396e-09
0.046044341,4.529787e-09
0.03459588,4.5035766e-09
0.024614825,4.4768487e-09
0.042799027,4.5145465e-09
0.033254164,4.48755e-09
0.062107197,4.4398485e-09
0.062107197,4.449341e-09
0.043272648,4.4583746e-09
0.045175706,4.4663335e-09
0.037065682,4.474939e-09
0.023338567,4.4831756e-09
0.02694625,4.4916386e-09
0.022251595,4.499443e-09
0.015840899,4.5158486e-09
0.022247985,4.4888604e-09
0.02359895,4.4691895e-09
0.028266077,4.448715e-09
0.034148001,4.427482e-09
0.030246081,4.4725996e-09
0.044227797,4.451265e-09
0.034148001,4.429081e-09
0.053418958,4.4562514e-09
0.069103647,4.4332307e-09
0.047701209,4.780011e-09
0.049828082,4.8062194e-09
0.039921901,4.83151e-09
0.034526634,4.789677e-09
0.035383612,4.8155093e-09
0.034815799,4.8404303e-09
0.023215958,4.799455e-09
0.026503166,4.8249125e-09
0.023879945,4.8093294e-09
0.012801384,4.743147e-09
0.013275033,4.720203e-09
0.014555353,4.6968838e-09
0.016681132,4.673217e-09
0.016082812,4.7551456e-09
0.016213278,4.7322506e-09
0.014041773,4.708978e-09
0.028328952,4.7674567e-09
0.035658002,4.744707e-09
0.035163167,4.599657e-09
0.019543766,4.6353086e-09
0.040306216,4.600673e-09
0.02563207,4.6339954e-09
0.016193622,4.669961e-09
0.034608244,4.633965e-09
0.018058422,4.6677697e-09
0.023823567,4.666768e-09
0.136911263,4.998567e-09
0.104447522,4.979143e-09
0.072432583,4.9597704e-09
0.053831215,4.940232e-09
0.140638208,4.9840447e-09
0.110485474,4.9639497e-09
0.080381705,4.9437174e-09
0.142550786,4.968424e-09
0.115376362,4.947489e-09
0.029355866,4.500368e-09
0.021698106,4.4781325e-09
0.014900884,4.4547424e-09
0.012778473,4.43037e-09
0.020453386,4.4765547e-09
0.017272177,4.4532924e-09
0.013432775,4.429012e-09
0.017855338,4.45224e-09
0.015313452,4.428019e-09
0.0126,4.435354e-09
0.0126,4.4591637e-09
0.014247568,4.4826622e-09
