x,y,grf_interpolated,pred_k
13.086416,18.943472,1.1452771,0.96313816
10.151643,21.648077,0.98860365,0.971083
10.896121,20.849281,1.0330772,0.9695223
10.96689,21.441551,1.1214052,0.96664476
10.353236,21.503424,1.0022904,0.9703658
11.484357,22.45921,1.3478467,0.9592181
11.305659,21.64344,1.2050371,0.9636463
11.083453,20.720469,1.0463288,0.9688346
11.311388,20.806871,1.0923741,0.96700746
13.08021,18.018724,1.0354254,0.9669078
12.923021,17.802797,0.9655755,0.96880144
13.000261,18.729113,1.0984778,0.9645542
12.324969,19.498322,1.0304829,0.96578974
12.036455,19.136915,0.94069475,0.96912503
11.83932,20.04196,1.0419229,0.9667138
10.5873785,21.57653,1.0517068,0.968547
10.902697,21.07107,1.0650172,0.96857196
10.608457,23.182499,1.1841912,0.96188563
11.439,23.874048,1.6107688,0.9538591
16.592613,3.6882594,1.2879062,1.0008011
13.275821,29.645468,0.78729016,0.9208487
11.226183,23.786543,1.521614,0.9555447
3.9233885,19.72057,0.95726293,1.0213053
11.301474,23.37605,1.4522947,0.95670635
11.409576,21.83383,1.2445225,0.96221143
10.520264,22.934628,1.1290606,0.9634521
12.286448,17.695835,0.8012936,0.9733911
12.985233,18.264378,1.0374075,0.96652794
11.474808,22.215105,1.3084224,0.9602593
10.840497,23.235346,1.258676,0.9601928
12.611975,18.084114,0.9104273,0.96967864
12.754833,18.290916,0.9733614,0.9679106
16.483818,3.8758197,1.3098823,1.0008408
15.954907,4.0352106,1.3742545,1.0040116
12.270887,19.107403,0.97052443,0.9677261
21.063494,11.80603,0.9450116,0.9404889
12.752422,18.728004,1.0280062,0.96615463
10.418022,24.517145,1.439894,0.95773596
10.328629,24.288507,1.3535774,0.9592191
10.157927,21.873821,1.0063461,0.970115
21.076202,12.169933,0.9441863,0.9391215
11.303541,22.056282,1.2477751,0.96199095
12.649043,18.517702,0.97344905,0.9676751
7.603951,10.141226,1.5212704,1.0381209
12.097734,18.627386,0.87570864,0.9708082
10.744487,21.410196,1.0712413,0.96820986
11.075737,22.068047,1.1948355,0.96340066
11.968152,19.377937,0.9665034,0.96858484
12.25206,19.920725,1.0698746,0.9645482
