step,phase,c_lambda,e11_lambda,e22_lambda,e12_lambda,allen_cahn_lambda,force_balance_lambda,k_reg_lambda,interp_c_lambda,interp_e11_lambda,interp_e22_lambda,interp_e12_lambda
0,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
1,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
2,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
3,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
4,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
5,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
6,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
7,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
8,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
9,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
10,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
11,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
12,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
13,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
14,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
15,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
16,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
17,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
18,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
19,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
20,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
21,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
22,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
23,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
24,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
25,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
26,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
27,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
28,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
29,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
30,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
