step,phase,c_loss,e11_loss,e22_loss,e12_loss,allen_cahn_loss,force_balance_loss,k_reg_loss,interp_c_loss,interp_e11_loss,interp_e22_loss,interp_e12_loss,total_loss,test_total_loss,test_c_loss,test_e11_loss,test_e22_loss,test_e12_loss,test_allen_cahn_loss,test_force_balance_loss,test_k_reg_loss,test_interp_c_loss,test_interp_e11_loss,test_interp_e22_loss,test_interp_e12_loss
0,adam,0.10470617995146782,0.5079519354527996,2.0739864995402675,13.088579731602822,4.0753576784834054e-05,7.714196493061133e-09,0.006353870297795267,0.0,0.0,0.0,0.0,5.853096946593253,3.61454176902771,0.08952108025550842,0.28186219930648804,1.022212028503418,8.465911865234375,6.85555933159776e-05,5.646926926061724e-09,0.02297869697213173,0.0,0.0,0.0,0.0
1,adam,0.09650779948119194,0.4911224515207352,2.0680155830998577,13.08173321139428,0.00011915603658229472,1.1789335873127203e-08,0.07014466257345292,0.0,0.0,0.0,0.0,5.757110472648375,3.6942033767700195,0.09971889853477478,0.27782243490219116,1.0150507688522339,8.467649459838867,0.00011350752174621448,9.09125041914649e-09,0.14885301887989044,0.0,0.0,0.0,0.0
2,adam,0.08711199895028145,0.48272465409771087,2.0575683078458233,13.06934332078503,0.0001326884192812647,1.978551716728904e-08,0.29558120812139205,0.0,0.0,0.0,0.0,5.6526969786613215,3.8345465660095215,0.11739685386419296,0.2774409353733063,1.005876064300537,8.468648910522461,0.00010884327639359981,1.5688801369151406e-08,0.5104114413261414,0.0,0.0,0.0,0.0
3,adam,0.07517314101419141,0.478197185262557,2.040954270670491,13.066756709929436,9.903706086333841e-05,3.365750505541919e-08,0.8124830915081885,0.0,0.0,0.0,0.0,5.52359825564969,4.051937580108643,0.14512141048908234,0.2776109278202057,0.9937833547592163,8.462665557861328,7.078854832798243e-05,2.6457312785055365e-08,1.1883084774017334,0.0,0.0,0.0,0.0
4,adam,0.06443506803724074,0.4759298630299107,2.0224136460211968,13.041366084929436,5.7303249993692004e-05,5.3840509627705966e-08,1.5609837270552112,0.0,0.0,0.0,0.0,5.402576846461142,4.291751384735107,0.17608383297920227,0.2776246666908264,0.9768139719963074,8.446094512939453,4.0262279071612284e-05,4.5570125450922205e-08,1.9623854160308838,0.0,0.0,0.0,0.0
5,adam,0.05795240882904299,0.47229311446989736,2.0030956268310547,13.036912087471254,3.2559928278656556e-05,9.470865198900649e-08,2.2576801892249816,0.0,0.0,0.0,0.0,5.320301209726641,4.429566383361816,0.19628110527992249,0.2764277756214142,0.9505780935287476,8.410197257995605,2.4648419639561325e-05,9.564180913912423e-08,2.551370859146118,0.0,0.0,0.0,0.0
6,adam,0.05452575594667466,0.4677499359653842,1.9627171062654065,12.957528360428348,2.1133684992579923e-05,1.871853595136394e-07,2.7249750475729666,0.0,0.0,0.0,0.0,5.233569406693982,4.411245822906494,0.20008447766304016,0.27369269728660583,0.9087929725646973,8.357200622558594,1.7550986740388907e-05,2.2886609940542257e-07,2.8977673053741455,0.0,0.0,0.0,0.0
7,adam,0.052084805624138926,0.46332946227442834,1.8999723888212634,12.907437632160802,1.6162849474752756e-05,4.545784324158552e-07,2.977493409187563,0.0,0.0,0.0,0.0,5.142320140715568,4.258576393127441,0.19162601232528687,0.26831087470054626,0.8447291851043701,8.26042652130127,1.439304651285056e-05,5.675140641869802e-07,3.0638134479522705,0.0,0.0,0.0,0.0
8,adam,0.0493609631253827,0.4538750244725135,1.805532286244054,12.754039179894232,1.4177256455314496e-05,1.1165346739788572e-06,3.0845573409911125,0.0,0.0,0.0,0.0,4.994896319604689,4.0102925300598145,0.17443622648715973,0.26541152596473694,0.7576377391815186,8.11778736114502,1.311031974182697e-05,1.3945725640951423e-06,3.11338472366333,0.0,0.0,0.0,0.0
9,adam,0.04567125055097764,0.44110942079174903,1.6854566874042634,12.56572864901635,1.3897243162876205e-05,2.7464196782309428e-06,3.093789539029521,0.0,0.0,0.0,0.0,4.80543319640621,3.7282333374023438,0.15719713270664215,0.25814831256866455,0.6577316522598267,7.89182710647583,1.3280777238833252e-05,3.2643631584505783e-06,3.088120937347412,0.0,0.0,0.0,0.0
10,adam,0.04153957746682629,0.4308830566944615,1.5547388715128745,12.259400921483193,1.4645191978131827e-05,6.069631097254328e-06,3.0449469858600247,0.0,0.0,0.0,0.0,4.588571040861068,3.475630760192871,0.13997575640678406,0.2585190534591675,0.5853943824768066,7.611095428466797,1.4314552572614048e-05,6.770097115804674e-06,3.0164217948913574,0.0,0.0,0.0,0.0
11,adam,0.03764168245177115,0.42128266442206597,1.454126569532579,11.919065660045993,1.5707204129871718e-05,1.1077067410364943e-05,2.9565984202969458,0.0,0.0,0.0,0.0,4.394577710859237,3.3205888271331787,0.13135838508605957,0.2568832337856293,0.5539652109146118,7.2975263595581055,1.5971940229064785e-05,1.2166035958216526e-05,2.912288188934326,0.0,0.0,0.0,0.0
12,adam,0.03474430006838614,0.41086445123918597,1.3818252240457842,11.54490138638404,1.6531671022793518e-05,1.7079313135670212e-05,2.8421409283914874,0.0,0.0,0.0,0.0,4.225483586711269,3.235963821411133,0.1275511234998703,0.25556087493896484,0.5545655488967896,6.997647285461426,1.739969775371719e-05,1.9504412193782628e-05,2.7861626148223877,0.0,0.0,0.0,0.0
13,adam,0.03294116096390832,0.40111488776822246,1.3515194423737065,11.227333837939847,1.713070137597125e-05,2.3450039495195774e-05,2.7071362541567896,0.0,0.0,0.0,0.0,4.111805723559472,3.1834468841552734,0.1300562620162964,0.24862433969974518,0.542253851890564,6.703535556793213,1.8753453332465142e-05,2.7361973479855806e-05,2.6457624435424805,0.0,0.0,0.0,0.0
14,adam,0.03167976348871185,0.39193823645191805,1.3332375557191911,10.915239703270696,1.7428735865847088e-05,3.106811598099152e-05,2.563556294287405,0.0,0.0,0.0,0.0,4.01483215055158,3.1332480907440186,0.13112622499465942,0.24435167014598846,0.534372866153717,6.441669464111328,1.9847462681354955e-05,3.602113793021999e-05,2.496830701828003,0.0,0.0,0.0,0.0
