concentration,mu_h(c)
0.085926031,0.2174933
0.071048654,0.18221998
0.060858766,0.14369631
0.055140338,0.10249734
0.05943605,0.17567182
0.052146544,0.13505793
0.047038858,0.091917515
0.044866557,0.12622976
0.040929906,0.0812881
0.039813696,0.070709944
0.142714353,0.2961161
0.118839463,0.2685299
0.100255479,0.23450613
0.083069098,0.19367218
0.142714353,0.27763534
0.106392402,0.24316645
0.083629974,0.201653
0.117339152,0.2517326
0.084005939,0.20959473
0.051186838,-0.17513585
0.049878135,-0.15548253
0.045736979,-0.14122629
0.038518016,-0.13478422
0.049367395,-0.17980146
0.044572773,-0.15748715
0.039075126,-0.1403656
0.046147235,-0.18445897
0.040973559,-0.15956235
0.044213316,-0.18908072
0.045089931,-0.14335251
0.033941618,-0.14053679
0.021777741,-0.15080214
0.020556879,-0.17363691
0.046044341,-0.14020014
0.03459588,-0.14012337
0.024614825,-0.15339708
0.042799027,-0.1373241
0.033254164,-0.1401031
0.062107197,-0.24335742
0.062107197,-0.21777964
0.043272648,-0.19418907
0.045175706,-0.21524453
0.037065682,-0.19247603
0.023338567,-0.17277193
0.02694625,-0.19030643
0.022251595,-0.17148948
0.015840899,-0.16975403
0.022247985,-0.22371483
0.02359895,-0.24873948
0.028266077,-0.27464437
0.034148001,-0.30058932
0.030246081,-0.23039412
0.044227797,-0.25710392
0.034148001,-0.2846005
0.053418958,-0.23693943
0.069103647,-0.26533294
0.047701209,-0.13119078
0.049828082,-0.070984125
0.039921901,-0.0020611286
0.034526634,-0.11739278
0.035383612,-0.05372739
0.034815799,0.017484188
0.023215958,-0.10191178
0.026503166,-0.034974337
0.023879945,-0.084694624
0.012801384,-0.21189642
0.013275033,-0.2313757
0.014555353,-0.24460316
0.016681132,-0.2519679
0.016082812,-0.18953037
0.016213278,-0.21439719
0.014041773,-0.23283076
0.028328952,-0.16242695
0.035658002,-0.19249868
0.035163167,-0.22372079
0.019543766,-0.24819565
0.040306216,-0.21403956
0.02563207,-0.24215102
0.016193622,-0.252784
0.034608244,-0.23394608
0.018058422,-0.25072432
0.023823567,-0.2457788
0.136911263,0.31880426
0.104447522,0.30472565
0.072432583,0.28384495
0.053831215,0.2536199
0.140638208,0.31824112
0.110485474,0.29784775
0.080381705,0.2682414
