x,y,c_abs_error_t71
1.8311099,38.687588,0.2782899
2.074575,38.61109,0.26126653
2.3180404,38.53459,0.2547909
2.5615056,38.458096,0.25368324
1.993373,38.8901,0.24155757
2.2464602,38.80496,0.23712352
2.4995472,38.719814,0.2318024
2.17488,39.07532,0.2484785
2.4375892,38.981537,0.22901285
2.3756309,39.24326,0.26964936
1.4549216,37.968254,0.39009982
1.7320184,37.959023,0.35780606
2.0091152,37.949795,0.32457367
2.286212,37.940563,0.30360845
1.5621117,38.218517,0.3944963
1.8483115,38.204044,0.32056013
2.1345112,38.18957,0.28901574
1.6875077,38.458294,0.33487815
1.9828106,38.43858,0.28238136
6.447986,38.965843,0.28912082
6.6878014,39.15118,0.24473917
6.9276166,39.336517,0.19448984
7.167432,39.521854,0.13646165
6.282333,39.28026,0.25545907
6.5301204,39.48429,0.19930306
6.777908,39.68832,0.1492762
6.116679,39.59467,0.22024882
6.372439,39.817398,0.16608909
5.951026,39.909084,0.18692389
7.1331334,38.76385,0.2680824
7.450928,38.849033,0.26530924
7.768723,38.934216,0.2565208
8.086518,39.019398,0.23353744
7.144566,39.01652,0.2458216
7.462616,39.10311,0.22292632
7.7806654,39.189705,0.16543448
7.1559987,39.269188,0.18587962
7.4743032,39.357193,0.1323128
8.828586,38.68565,0.19532767
8.578567,38.79061,0.19351944
8.33121,38.90186,0.22642058
8.630538,38.502308,0.2131375
8.381851,38.610413,0.23105532
8.135827,38.724808,0.25513393
8.432491,38.318966,0.23993102
8.185135,38.430214,0.25424877
8.234444,38.135624,0.2593013
8.861869,37.984898,0.23754525
9.05914,38.085526,0.2212803
9.256412,38.186153,0.19298497
9.453683,38.28678,0.17155457
8.850775,38.218483,0.2211985
9.053646,38.328793,0.19336644
9.256516,38.439106,0.17090058
8.83968,38.452065,0.19668493
9.048151,38.57206,0.17518055
3.2379718,39.719036,0.2636404
2.9353228,39.58808,0.26851994
2.6478758,39.42949,0.2841963
3.2805686,39.388187,0.23521197
2.9855206,39.243416,0.22199032
2.7056746,39.071003,0.20828196
3.3231654,39.057343,0.20597547
3.0357187,38.89875,0.19769543
3.3657625,38.726494,0.23185515
4.1614065,38.9873,0.2547353
4.279971,39.32223,0.26767254
4.3985353,39.657166,0.28789222
4.5171,39.992096,0.2968512
3.8535948,39.231213,0.23888147
3.9660122,39.58669,0.27248257
4.0784297,39.942165,0.29736477
3.5457833,39.475124,0.251494
3.6520536,39.851143,0.28100538
5.477366,39.97626,0.22163513
4.999391,40.003933,0.29318535
5.7606454,39.515438,0.25688
5.284828,39.562862,0.28382492
4.804695,39.570778,0.29665986
5.5702653,39.12179,0.3047602
5.09229,39.14946,0.30959448
5.379885,38.728146,0.3272975
1.1737292,36.94111,0.50815356
1.4947075,37.00582,0.44320786
1.8156857,37.070534,0.37275085
2.1366642,37.135246,0.33295768
1.2398866,37.29027,0.5007138
1.5746516,37.351593,0.4129501
1.9094166,37.412914,0.34424734
1.3336174,37.632652,0.46660438
1.6821691,37.690586,0.37961507
9.326107,37.456306,0.25860894
9.599195,37.529343,0.24049062
9.872282,37.60238,0.22254899
10.14537,37.67542,0.1870288
9.368632,37.73313,0.23616126
9.642258,37.805965,0.21481293
9.915883,37.8788,0.19760835
9.411158,38.009956,0.20765966
9.685321,38.082584,0.18684459
11.564095,36.468864,0.11729264
11.494565,36.253357,0.18079183
11.4250345,36.03785,0.22467911
11.355504,35.822342,0.25214413
11.735493,36.345623,0.1225549
11.667287,36.13195,0.18911651
11.599081,35.918278,0.23772535
11.909539,36.22605,0.13928401
11.842658,36.014214,0.20432279
12.086235,36.11015,0.1668452
2.1219835,35.912125,0.43077672
1.8058988,36.25512,0.4471365
1.4898139,36.598114,0.46447417
1.7350696,35.79215,0.47386268
1.4223251,36.134678,0.49468562
1.1095805,36.47721,0.52504224
1.3481557,35.672176,0.50491357
1.0387514,36.01424,0.5317518
0.9612417,35.5522,0.5282609
9.966084,36.761005,0.26822984
10.282975,36.847897,0.23969728
10.599866,36.934788,0.20328522
10.916758,37.021683,0.15446231
10.025846,37.065807,0.2482847
10.344675,37.155262,0.20918542
10.663505,37.24472,0.15868247
10.085608,37.370613,0.21979895
10.406375,37.46263,0.16808411
10.833222,36.774853,0.19569191
10.749686,36.528023,0.22801453
10.666151,36.281197,0.25520372
11.128115,36.831535,0.13302788
11.04679,36.587643,0.18867859
10.965466,36.34375,0.22910658
11.343894,36.647263,0.11986044
11.26478,36.406307,0.18454403
12.52616,35.69359,0.14828503
12.388285,35.843197,0.14807954
12.241643,35.98205,0.1676789
12.307179,35.604115,0.1642395
12.164921,35.748344,0.18153411
12.013896,35.88182,0.19256803
12.0882,35.51464,0.19751105
11.941558,35.653492,0.21420324
11.869219,35.425167,0.21530434
2.0759482,34.463024,0.43792188
1.7043794,34.82608,0.46752325
1.3328105,35.18914,0.5011685
1.6320688,34.238457,0.4752866
1.2548895,34.602432,0.504925
0.8777102,34.966408,0.5236685
1.1881893,34.013893,0.5028362
0.8053996,34.378784,0.515673
0.74430984,33.789326,0.49640548
13.059776,35.122444,0.110039026
12.878378,35.308624,0.11301905
12.700506,35.499004,0.119196415
12.815469,35.037327,0.14115769
12.635834,35.22561,0.14359364
12.459724,35.41809,0.1511077
12.571161,34.95221,0.16506645
12.39329,35.14259,0.1715261
12.326854,34.867092,0.18567824
2.166426,32.728203,0.35961825
1.6923873,33.081913,0.4131752
1.2183486,33.43562,0.4643223
1.6512784,32.432735,0.39175954
1.1706712,32.78705,0.4469277
0.6900641,33.141365,0.43446538
1.1361307,32.137264,0.45995283
0.6489551,32.492188,0.43398908
0.62098294,31.841797,0.44106066
12.921279,34.1687,0.17667401
13.2176,34.242,0.15885806
13.513921,34.3153,0.13786197
13.810242,34.3886,0.11299884
12.967444,34.486618,0.15784085
13.263388,34.55922,0.130139
13.559331,34.631824,0.095167816
13.01361,34.80453,0.1376347
13.3091755,34.87644,0.099891484
13.591622,33.38472,0.1898464
13.933412,33.445305,0.1691508
14.275202,33.50589,0.13177025
14.616991,33.56648,0.07151502
13.664495,33.719345,0.18164489
14.007419,33.781197,0.15839025
14.350342,33.843044,0.09050971
13.737369,34.053974,0.1632443
14.081426,34.117085,0.120699316
14.400628,32.71706,0.17806363
14.700843,32.77092,0.17143929
15.001058,32.824783,0.16188094
15.301272,32.878647,0.14571464
14.472749,33.0002,0.15541577
14.771416,33.052834,0.14062399
15.070083,33.10547,0.11393681
14.54487,33.283337,0.12094414
14.8419895,33.334747,0.08449724
2.199348,30.855951,0.31308368
1.6732264,31.184566,0.36880177
1.1471046,31.513182,0.4467
1.670961,30.533825,0.37265494
1.1384655,30.86253,0.4568288
0.60597,31.191233,0.45898563
1.142574,30.211699,0.45996705
0.6037047,30.540491,0.4630461
0.6141869,29.889572,0.47239792
15.138894,32.214714,0.2056208
15.37001,32.272934,0.19731498
15.601127,32.331158,0.18611306
15.832242,32.38938,0.18057978
15.19302,32.436024,0.18695006
15.42317,32.4934,0.17527089
15.65332,32.550777,0.16167507
15.247147,32.657333,0.16717985
15.47633,32.713863,0.15310282
15.649534,31.891598,0.2199955
15.833046,31.91312,0.21826595
16.016558,31.934645,0.20995691
16.20007,31.95617,0.19787163
15.710437,32.057526,0.213835
15.90054,32.084446,0.20712104
16.090645,32.111366,0.20576131
15.771339,32.223454,0.19476545
15.968035,32.255768,0.18132254
2.2797499,28.991318,0.30710655
1.7245623,29.290735,0.36818564
1.1693746,29.590153,0.4600976
1.7599926,28.64095,0.37388387
1.198614,28.93994,0.46029457
0.6372354,29.23893,0.4849356
1.2402353,28.290583,0.46225703
0.6726658,28.589144,0.4896681
0.72047794,27.940216,0.48920512
16.072948,31.767452,0.21005869
15.945827,31.578735,0.22342357
15.818705,31.39002,0.22572336
16.312374,31.782137,0.19768491
16.185835,31.594013,0.20879379
16.059298,31.40589,0.22330642
16.425846,31.609291,0.19075605
16.29989,31.42176,0.20420796
16.540483,31.437632,0.1906572
2.4302886,27.107105,0.23593834
1.8603517,27.38481,0.31397477
1.2904148,27.662512,0.4188931
1.9325256,26.73807,0.28439936
1.356562,27.014824,0.3198594
0.7805984,27.291578,0.33141297
1.4347628,26.369036,0.35588998
0.8527724,26.64484,0.33293197
0.937,26.0,0.4309869
16.958448,30.716629,0.19307339
16.825024,30.960714,0.19371015
16.685701,31.201048,0.1907033
16.665253,30.70676,0.2062723
16.52888,30.948969,0.20443118
16.386608,31.187428,0.20520243
16.372057,30.696892,0.22171003
16.232735,30.937225,0.22256845
16.078861,30.687023,0.23630726
2.6549435,25.223146,0.25882033
2.0822957,25.482098,0.31172436
1.5096478,25.741049,0.3879055
2.188097,24.841393,0.3118517
1.6106178,25.099352,0.38375416
1.0331384,25.357311,0.43536526
1.7212508,24.459639,0.40125746
1.1389399,24.716606,0.3964458
1.2544043,24.077885,0.41312847
16.421799,29.755676,0.2407147
16.779427,29.748188,0.2272462
17.137056,29.7407,0.20246348
17.494684,29.733212,0.15028414
16.600681,30.075993,0.23160177
16.956474,30.067392,0.21155933
17.312267,30.058792,0.1639879
16.779564,30.39631,0.21069267
17.133522,30.386599,0.18731505
3.0792994,20.171354,0.26085138
2.7153385,20.300205,0.28362292
2.3513775,20.429056,0.31874287
1.9874164,20.557907,0.3291229
2.8016775,19.89823,0.2630831
2.4381468,20.02715,0.2842583
2.0746162,20.156069,0.2888615
2.5240557,19.625105,0.27320206
2.1609554,19.754093,0.2908544
2.2464337,19.35198,0.29010618
2.8843775,23.369287,0.35489604
2.3410532,23.605486,0.40148547
1.7977288,23.841686,0.4342378
2.4684913,22.972748,0.4096519
1.9225723,23.208395,0.46433088
1.3766532,23.444044,0.4491743
2.0526052,22.576206,0.43061426
1.5040914,22.811304,0.4525792
1.6367188,22.179667,0.41123718
3.0128005,21.665962,0.3231445
2.5541067,21.837196,0.35567933
2.0954127,22.008432,0.38001755
2.6710057,21.29661,0.33338544
2.2118933,21.467733,0.3759898
1.7527809,21.638857,0.38659644
2.329211,20.92726,0.3571015
1.8696802,21.09827,0.39112502
3.0781326,19.06455,0.21390146
2.8008997,19.16036,0.23801649
2.5236669,19.25617,0.26722044
2.8637395,18.86126,0.23615831
2.5862007,18.957045,0.25903076
2.3086617,19.05283,0.2907834
2.6493464,18.657967,0.25813854
2.3715014,18.753729,0.2766096
2.4349532,18.454676,0.27092123
2.4876964,18.216167,0.2594459
2.5571673,17.983292,0.2658435
2.643366,17.756048,0.2742923
2.65789,18.412807,0.26187903
2.718997,18.177116,0.26854968
2.7968318,17.947056,0.28046054
2.8808267,18.370941,0.26126373
2.9502976,18.138065,0.27548504
3.1037633,18.329073,0.25875646
16.894823,28.543072,0.21980312
17.358011,28.512974,0.20884106
17.821198,28.482878,0.19397464
18.284386,28.45278,0.17003137
17.094778,28.939785,0.22139984
17.562815,28.912497,0.20398563
18.030853,28.885208,0.18619597
17.294731,29.336498,0.20032516
17.767618,29.31202,0.15686661
2.758639,17.512957,0.26396322
2.872948,17.269396,0.27661538
2.9862928,17.025364,0.29226005
2.9343457,17.760855,0.2843942
3.0491366,17.517529,0.28640205
3.1629636,17.273731,0.28717434
3.2253256,17.765661,0.2824114
3.3396344,17.5221,0.2820229
3.5163052,17.770468,0.27117813
17.431309,27.009161,0.21052405
17.985912,26.940346,0.20686167
18.540514,26.87153,0.22091389
19.095118,26.802715,0.24188524
17.715668,27.490368,0.19919497
18.27424,27.423737,0.19377774
18.832813,27.357107,0.19783634
18.000027,27.971573,0.18548676
18.562569,27.90713,0.16661474
3.1318502,16.69378,0.28229553
3.2879746,16.367384,0.2751252
3.454666,16.04617,0.27006686
3.3697913,17.008385,0.2908535
3.520632,16.679396,0.28313392
3.68204,16.355589,0.27639037
3.7532897,16.991407,0.29163218
3.909414,16.665009,0.284931
4.1367884,16.974428,0.29339916
19.900255,25.199503,0.30062678
19.612156,24.829296,0.29808536
19.324057,24.459091,0.29405305
19.035957,24.088886,0.29642624
20.10933,24.771168,0.288378
19.81634,24.398634,0.27968273
19.52335,24.026098,0.27776787
20.308622,24.338175,0.24725056
20.010742,23.963312,0.25324196
20.498135,23.900524,0.21061331
18.220798,25.420376,0.2508899
18.780617,25.346752,0.27978706
19.340437,25.273127,0.29421824
18.512238,25.881155,0.2510246
19.070036,25.806412,0.27876085
19.627832,25.731668,0.29032022
18.803679,26.341936,0.2505533
19.359453,26.266073,0.2592911
4.1849303,14.782154,0.25571048
4.4284515,15.157156,0.2647289
4.671973,15.532158,0.26427537
4.9154944,15.907159,0.26175398
3.935175,15.199855,0.25560176
4.1818633,15.576675,0.26355475
4.4285517,15.953496,0.2655272
3.6917536,15.621193,0.26048106
3.9416087,15.999833,0.27138776
20.261969,23.594294,0.23349819
20.025803,23.288061,0.24359617
19.789637,22.98183,0.24728891
20.667843,23.588467,0.20570263
20.432922,23.283232,0.23186243
20.198,22.977997,0.24312025
20.84004,23.2784,0.21575472
20.606363,22.974161,0.23981676
21.014727,22.970325,0.23902205
5.746736,14.715966,0.28998822
5.2261343,14.738029,0.27622747
4.705532,14.760092,0.26462686
5.528395,14.267434,0.2690457
5.003923,14.287075,0.25837362
4.4794507,14.306716,0.24988669
5.3100543,13.818902,0.25327647
4.781712,13.836121,0.24520904
5.091714,13.37037,0.24139774
6.402071,13.388434,0.26671648
5.9652853,13.382413,0.25621396
5.5284996,13.376391,0.24791223
6.2493963,12.980816,0.25299448
5.8098593,12.972907,0.24488193
5.3703227,12.964998,0.238657
6.096721,12.573198,0.24229604
5.6544333,12.563401,0.23590958
5.944046,12.16558,0.23474956
6.1626697,11.872422,0.23109728
6.3841157,11.581364,0.21530533
6.608384,11.292405,0.21299994
6.29282,12.230606,0.23946321
6.5128546,11.9384985,0.23614961
6.735712,11.64849,0.22952741
6.6415935,12.295633,0.24677533
6.8630395,12.004575,0.24500453
6.990367,12.36066,0.2539059
21.354822,21.976885,0.2256012
21.263784,22.31777,0.23207435
21.15042,22.648916,0.23335308
20.999828,22.01679,0.25209945
20.897629,22.352806,0.2533924
20.7731,22.679085,0.24718437
20.644836,22.056696,0.27521265
20.531471,22.387844,0.26715648
20.289843,22.096603,0.2909089
7.113325,10.65193,0.21020484
7.2484484,10.918311,0.23097706
7.383572,11.184692,0.2410714
7.518696,11.451073,0.2484501
6.9458117,10.865777,0.2195968
7.0805354,11.131981,0.23271966
7.2152586,11.398184,0.24205583
6.7774982,11.079268,0.2129345
6.9118214,11.345294,0.22841835
20.60423,21.081722,0.24951428
20.955902,20.98915,0.22770452
21.307573,20.896576,0.21583456
21.659243,20.804003,0.20782337
20.854427,21.38011,0.24179271
21.20197,21.286026,0.21868622
21.549511,21.191942,0.19945931
21.104624,21.678497,0.238996
21.448036,21.582903,0.20615968
7.255689,10.428331,0.20726949
7.3928504,10.2002125,0.19973898
7.52481,9.967575,0.20212042
7.3830104,10.672556,0.22166514
7.5227733,10.446697,0.21630776
7.657334,10.216319,0.2160809
7.652696,10.693181,0.23176795
7.789858,10.465063,0.23155403
7.9223814,10.713807,0.24397218
21.949673,19.762985,0.26483455
21.868174,20.114244,0.2655646
21.771364,20.46125,0.23494667
21.596424,19.851046,0.2689764
21.507269,20.20018,0.2593841
21.402803,20.545057,0.234429
21.243174,19.939108,0.26971003
21.146364,20.286114,0.25587952
20.889923,20.02717,0.27438232
8.279898,10.064376,0.24207932
8.028202,10.032109,0.23548359
7.776506,9.999842,0.21714294
8.221829,9.7537365,0.22846735
7.9626966,9.7155905,0.21613216
7.703564,9.6774435,0.20044577
8.163761,9.443097,0.20809644
7.8971915,9.399072,0.20176607
8.105693,9.132458,0.19437575
21.218636,19.19501,0.2608549
21.47775,19.062181,0.253351
21.736866,18.929354,0.24825907
21.995981,18.796526,0.2500266
21.462315,19.384335,0.26019704
21.733776,19.252008,0.25316703
22.005236,19.11968,0.24061817
21.705994,19.57366,0.26279652
21.9898,19.441833,0.2529719
8.3881,8.8413105,0.19762903
8.68257,8.5621195,0.21658671
8.989104,8.294884,0.24065202
8.472286,9.319877,0.2169702
8.760725,9.034707,0.22352147
9.061227,8.761494,0.24038154
8.83888,9.507296,0.23991644
9.133349,9.228104,0.24469185
9.205472,9.694715,0.2551242
21.030516,18.234673,0.2859652
21.340664,18.020031,0.2807686
21.650812,17.80539,0.27735427
21.960958,17.590748,0.2810242
21.352337,18.421957,0.26986957
21.663538,18.207031,0.26838276
21.97474,17.992105,0.2732408
21.67416,18.609241,0.25676712
21.986412,18.394032,0.26054406
10.384088,8.805652,0.2740125
9.919093,8.635396,0.26045352
9.454099,8.465139,0.24999028
