x,y,grf_interpolated,pred_k
13.086416,18.943472,1.1452771,0.793119
10.151643,21.648077,0.98860365,0.80927193
10.896121,20.849281,1.0330772,0.8048743
10.96689,21.441551,1.1214052,0.8057344
10.353236,21.503424,1.0022904,0.8082139
11.484357,22.45921,1.3478467,0.8056722
11.305659,21.64344,1.2050371,0.8048165
11.083453,20.720469,1.0463288,0.80391484
11.311388,20.806871,1.0923741,0.8032105
13.08021,18.018724,1.0354254,0.79148346
12.923021,17.802797,0.9655755,0.79166895
13.000261,18.729113,1.0984778,0.7930508
12.324969,19.498322,1.0304829,0.7969507
12.036455,19.136915,0.94069475,0.79736036
11.83932,20.04196,1.0419229,0.79977596
10.5873785,21.57653,1.0517068,0.8074534
10.902697,21.07107,1.0650172,0.8052728
10.608457,23.182499,1.1841912,0.8104738
11.439,23.874048,1.6107688,0.8085354
16.592613,3.6882594,1.2879062,0.7566523
13.275821,29.645468,0.78729016,0.8119299
11.226183,23.786543,1.521614,0.80920714
3.9233885,19.72057,0.95726293,0.8288296
11.301474,23.37605,1.4522947,0.80812746
11.409576,21.83383,1.2445225,0.80477726
10.520264,22.934628,1.1290606,0.8103392
12.286448,17.695835,0.8012936,0.7937961
12.985233,18.264378,1.0374075,0.79227054
11.474808,22.215105,1.3084224,0.80524707
10.840497,23.235346,1.258676,0.8096658
12.611975,18.084114,0.9104273,0.7933114
12.754833,18.290916,0.9733614,0.7931621
16.483818,3.8758197,1.3098823,0.75724137
15.954907,4.0352106,1.3742545,0.7590158
12.270887,19.107403,0.97052443,0.7964345
21.063494,11.80603,0.9450116,0.75513434
12.752422,18.728004,1.0280062,0.79396135
10.418022,24.517145,1.439894,0.8138192
10.328629,24.288507,1.3535774,0.8137287
10.157927,21.873821,1.0063461,0.8096874
21.076202,12.169933,0.9441863,0.7555991
11.303541,22.056282,1.2477751,0.80560815
12.649043,18.517702,0.97344905,0.7939609
7.603951,10.141226,1.5212704,0.79597723
12.097734,18.627386,0.87570864,0.79619443
10.744487,21.410196,1.0712413,0.806529
11.075737,22.068047,1.1948355,0.80651116
11.968152,19.377937,0.9665034,0.79806036
12.25206,19.920725,1.0698746,0.7980002
12.517705,17.640785,0.8455484,0.79285276
12.685186,17.841648,0.9047776,0.79260546
11.605306,20.321178,1.0566349,0.80118066
16.242828,4.255839,1.3430239,0.7585033
11.760441,20.463978,1.0900666,0.8008609
10.346283,22.459187,1.0628433,0.8100955
10.250137,22.255968,1.0397668,0.8100741
12.398728,19.301748,1.0190204,0.7963155
20.975687,12.331566,0.9413759,0.75612104
12.741656,19.153906,1.0749074,0.79477304
15.886783,32.150654,0.7581556,0.80564624
11.298934,22.627941,1.3141369,0.8067126
10.351514,22.031002,1.0397663,0.8092436
10.698141,21.188173,1.0377862,0.80628055
11.070689,21.230465,1.1171378,0.80493367
10.780841,23.682901,1.3438482,0.8107633
7.746753,21.914204,0.86114943,0.8190961
20.635271,6.0537577,0.951464,0.7485641
12.083445,19.762877,1.0311372,0.79834116
12.128824,19.544998,1.0086336,0.79776895
10.955166,22.288166,1.1781437,0.80739915
10.943516,21.837812,1.1485647,0.80658203
10.577131,22.017889,1.0777423,0.8083444
10.584709,22.482117,1.1028849,0.80921185
12.1142235,18.388086,0.84579015,0.79569393
12.627415,18.932188,1.0211565,0.7947932
4.3684974,37.12438,0.9546082,0.86524475
4.4913635,37.31004,0.9507752,0.8651057
10.668105,22.724968,1.1391485,0.809356
13.4815645,26.580269,1.187005,0.80546314
10.685895,21.810036,1.089538,0.8075232
10.119509,7.7555943,1.4512191,0.7832232
10.714181,22.265785,1.1185656,0.8082912
20.480831,5.9099383,0.9465733,0.74879646
12.669211,6.5765057,1.6294346,0.7730249
17.478971,19.257761,1.0289712,0.7778243
18.558437,4.2783766,0.98049235,0.7519083
5.90457,12.889327,1.6141592,0.80723035
12.62693,19.325909,1.0668204,0.79551125
12.460672,19.852533,1.0905777,0.7970932
18.386005,7.610593,0.8818828,0.75711983
3.5805225,37.7814,0.96760297,0.87006164
18.73917,4.4664154,0.95441955,0.75166357
7.2621946,32.402664,1.1797268,0.842807
20.76568,12.364218,0.93616295,0.7567925
3.7833445,33.293583,0.9780199,0.85945433
3.4191747,33.457886,0.97738326,0.86133474
14.869598,10.421625,0.96805614,0.7723295
14.638267,10.351275,0.9582648,0.7729657
21.41156,16.216118,0.9492953,0.76023877
17.735886,16.761965,1.0868767,0.77297187
17.592155,16.59,1.1059959,0.77318656
15.452085,19.076548,1.2545286,0.7847251
10.771155,26.21613,1.7850932,0.8157054
14.514875,11.090123,0.95691276,0.7745828
14.5422125,11.4451475,0.96895736,0.7750791
10.770418,28.355198,1.6219518,0.8198627
1.1283853,28.134739,1.1345994,0.85843635
10.924598,28.178078,1.6310624,0.8188816
20.960546,11.998186,0.94147354,0.75570375
10.86758,7.3314185,1.4572395,0.78005356
10.902547,22.772333,1.2050881,0.80853266
11.060136,22.551863,1.2281003,0.8074962
11.910091,12.195556,0.771448,0.7852122
11.345319,25.585648,1.8256365,0.8121748
11.564785,36.3751,0.76082695,0.8318779
1.2721305,32.02363,1.0590113,0.86685395
21.765224,20.142004,0.9855287,0.7647208
16.392315,9.653615,0.9145815,0.7662467
16.293013,9.472562,0.9251479,0.7662777
14.321743,18.334011,1.3249884,0.78753096
14.881119,17.973434,1.3113132,0.7848976
6.768199,20.237833,0.82984644,0.8193595
6.6099434,19.930079,0.8033522,0.81931186
18.109798,7.346267,0.88392264,0.75755304
7.385116,14.638013,1.3361231,0.80562127
21.32406,16.432268,0.9437506,0.7608166
4.051842,19.913902,0.92853975,0.8287846
12.431667,24.655005,1.7825878,0.8060872
10.74047,7.54622,1.4728235,0.7808417
5.891966,13.128095,1.6175133,0.8077643
21.146992,13.950285,0.94686055,0.7578629
15.433811,4.5470786,1.472294,0.7613231
17.984917,16.454983,1.0602145,0.7716539
1.3915802,32.213924,1.0529232,0.86681384
17.994116,16.666872,1.0560708,0.77195346
5.715884,34.988808,1.0375212,0.8548746
5.5084753,34.998684,1.0315368,0.8557923
11.637936,36.162792,0.75431216,0.831152
18.562366,8.496438,0.8842388,0.75787467
11.153322,23.55546,1.4390504,0.8090519
1.7612875,25.622229,1.1476442,0.8502124
10.924588,23.488037,1.3413627,0.80982184
8.942994,28.40475,1.5075461,0.82753587
8.743061,28.42807,1.467005,0.828412
7.367743,10.478444,1.5305545,0.7974259
7.2660923,14.255657,1.4687312,0.80527246
8.339872,20.3383,0.8260565,0.813615
11.8593645,36.123024,0.753804,0.83009875
8.388108,20.555061,0.8385037,0.81386906
5.4546185,39.831497,0.9775972,0.86612797
17.142073,13.409386,1.123107,0.76968956
17.055435,13.206041,1.1165044,0.7696546
