step,phase,c_lambda,e11_lambda,e22_lambda,e12_lambda,allen_cahn_lambda,force_balance_lambda,k_reg_lambda,interp_c_lambda,interp_e11_lambda,interp_e22_lambda,interp_e12_lambda
0,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,adam,8.9,2.1,0.48,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
