step,phase,c_loss,e11_loss,e22_loss,e12_loss,allen_cahn_loss,force_balance_loss,k_reg_loss,interp_c_loss,interp_e11_loss,interp_e22_loss,interp_e12_loss,total_loss,test_total_loss,test_c_loss,test_e11_loss,test_e22_loss,test_e12_loss,test_allen_cahn_loss,test_force_balance_loss,test_k_reg_loss,test_interp_c_loss,test_interp_e11_loss,test_interp_e22_loss,test_interp_e12_loss,k_std,k_min,k_max
0,adam,0.10422095656394958,0.5080732982004842,2.07471788314081,13.090574910563808,8.537171856181474e-05,5.2834920238170425e-09,0.00012118007725803182,0.0,0.0,0.0,0.0,3.9852685928344727,2.5444130897521973,0.09167954325675964,0.2825048863887787,1.024005651473999,8.469503402709961,0.00022696054656989872,5.808808989371528e-09,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
1,adam,0.09340833007327971,0.49329166739217695,2.071732697948333,13.086655955160818,0.0007263863705203778,8.170114592033887e-09,0.00012115663740851526,0.0,0.0,0.0,0.0,3.8562640297797417,2.6766276359558105,0.1076790913939476,0.2782526910305023,1.0202323198318481,8.476861953735352,0.0012423185398802161,8.16333933784108e-09,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
2,adam,0.0818842853749952,0.48434628498169685,2.0663283294247043,13.078787957468341,0.0023969250971511485,1.0246669577345675e-08,0.00012108637724116804,0.0,0.0,0.0,0.0,3.7317227009804017,2.877249240875244,0.13038110733032227,0.2781026363372803,1.0167803764343262,8.484044075012207,0.003548567881807685,1.0539457306890654e-08,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
3,adam,0.0703169237221441,0.47884235362852773,2.058321160654868,13.082607576923985,0.0054845673392616935,1.2907710685241117e-08,0.00012102116799665495,0.0,0.0,0.0,0.0,3.613661758361324,3.145413637161255,0.16030222177505493,0.2797316014766693,1.0131038427352905,8.48681354522705,0.007142562419176102,1.5607948711249264e-08,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
4,adam,0.06155666156161216,0.47713040440313276,2.0508143517278854,13.065484692973476,0.009197263783144375,1.9431890304729443e-08,0.00012115153250276982,0.0,0.0,0.0,0.0,3.527195684371456,3.4034011363983154,0.18963536620140076,0.27974703907966614,1.0077272653579712,8.479853630065918,0.010391971096396446,2.6226327776157632e-08,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
5,adam,0.05687913178436218,0.47368264006030175,2.047364404124598,13.074058594242219,0.011779361074009249,3.7254858524291986e-08,0.00012116927856339081,0.0,0.0,0.0,0.0,3.4773210479367163,3.5542068481445312,0.20749573409557343,0.2784143388271332,0.9995942115783691,8.460783004760742,0.011985218152403831,5.1327486261243394e-08,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
6,adam,0.054342629688401374,0.46946641610514733,2.0340037768886936,13.022581315809681,0.012883842291851197,7.483536508758451e-08,0.0001210896852200911,0.0,0.0,0.0,0.0,3.4355667483422065,3.5776455402374268,0.2116321623325348,0.2756156325340271,0.987288773059845,8.43984317779541,0.01232251524925232,1.0632030722490526e-07,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
7,adam,0.05250598682511237,0.4654408452972289,2.014345726659221,13.023530560155068,0.01319494558077666,1.812193880548494e-07,0.00012112830788077366,0.0,0.0,0.0,0.0,3.401403204087288,3.5033693313598633,0.20569442212581635,0.2709845304489136,0.9684222936630249,8.404984474182129,0.011921261437237263,2.221215424924594e-07,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
8,adam,0.05016271673863934,0.45641028881073,1.9845239000935708,12.958947673920662,0.01308575170415063,4.29760956971985e-07,0.00012096766224731841,0.0,0.0,0.0,0.0,3.34236115794028,3.3481054306030273,0.1911378800868988,0.2670503556728363,0.9391632080078125,8.360187530517578,0.01075677014887333,4.849267156714632e-07,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
9,adam,0.04701744885213913,0.44314102876570916,1.9453228481354252,12.9180540269421,0.012682154534324523,1.1048248435115732e-06,0.00012117333455769826,0.0,0.0,0.0,0.0,3.2645783962741977,3.131028652191162,0.1716761291027069,0.25866299867630005,0.896373450756073,8.284995079040527,0.00899925734847784,1.080870788428001e-06,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
