concentration,mu_h(c)
0.085926031,0.03368354
0.071048654,0.021367311
0.060858766,0.008581877
0.055140338,-0.0047984123
0.05943605,0.0077598095
0.052146544,-0.00603652
0.047038858,-0.020467043
0.044866557,-0.020972967
0.040929906,-0.036519527
0.039813696,-0.052942753
0.142714353,0.09878659
0.118839463,0.084004164
0.100255479,0.06845689
0.083069098,0.051936388
0.142714353,0.07938361
0.106392402,0.062986374
0.083629974,0.045606136
0.117339152,0.057795286
0.084005939,0.039517403
0.051186838,-0.18449593
0.049878135,-0.18119574
0.045736979,-0.1811719
0.038518016,-0.18476486
0.049367395,-0.19222021
0.044572773,-0.18815398
0.039075126,-0.18785858
0.046147235,-0.20013285
0.040973559,-0.19514537
0.044213316,-0.20824242
0.045089931,-0.17034316
0.033941618,-0.17191625
0.021777741,-0.17762446
0.020556879,-0.18715596
0.046044341,-0.17472339
0.03459588,-0.17776966
0.024614825,-0.18502378
0.042799027,-0.17952538
0.033254164,-0.18410063
0.062107197,-0.1988697
0.062107197,-0.19416285
0.043272648,-0.19022393
0.045175706,-0.18500614
0.037065682,-0.18155026
0.023338567,-0.17898035
0.02694625,-0.17306495
0.022251595,-0.17099738
0.015840899,-0.16323614
0.022247985,-0.17274618
0.02359895,-0.18253732
0.028266077,-0.19340587
0.034148001,-0.20517993
0.030246081,-0.18115449
0.044227797,-0.19225526
0.034148001,-0.20448637
0.053418958,-0.1898694
0.069103647,-0.20232058
0.047701209,-0.19285393
0.049828082,-0.145082
0.039921901,-0.097383976
0.034526634,-0.16395617
0.035383612,-0.116029024
0.034815799,-0.06989503
0.023215958,-0.13486147
0.026503166,-0.08759475
0.023879945,-0.10596633
0.012801384,-0.21102643
0.013275033,-0.24232817
0.014555353,-0.26313615
0.016681132,-0.27394152
0.016082812,-0.20749211
0.016213278,-0.2454133
0.014041773,-0.27309465
0.028328952,-0.20127106
0.035658002,-0.24512458
0.035163167,-0.22963238
0.019543766,-0.2547183
0.040306216,-0.2135818
0.02563207,-0.2361548
0.016193622,-0.2550385
0.034608244,-0.21861935
0.018058422,-0.23661232
0.023823567,-0.21891236
0.136911263,0.15753007
0.104447522,0.1418376
0.072432583,0.1251576
0.053831215,0.10716486
0.140638208,0.14079618
0.110485474,0.122979164
0.080381705,0.103857994
0.142550786,0.12136626
0.115376362,0.10105991
0.029355866,-0.16577077
0.021698106,-0.17678404
0.014900884,-0.18886328
0.012778473,-0.20166373
0.020453386,-0.17807913
0.017272177,-0.19024706
0.013432775,-0.20331383
0.017855338,-0.19123745
0.015313452,-0.20448232
0.0126,-0.18528795
0.0126,-0.17349267
0.014247568,-0.16216278
0.016935096,-0.15135121
0.0126,-0.18375683
0.012846141,-0.17225456
0.014237945,-0.16119528
0.012606225,-0.18241167
0.012931759,-0.17121363
0.0126,-0.1812756
0.021976041,0.16285276
0.047189885,0.16019702
0.092767195,0.15841198
0.04610269,0.17900491
0.087130612,0.1773436
0.132350382,0.17652822
0.073881001,0.19401693
0.130007824,0.19341397
0.101169923,0.20838237
0.016072831,-0.15551448
0.0126,-0.16775703
0.0126,-0.18086624
0.0126,-0.19440198
0.015728386,-0.16983128
0.0126,-0.18345499
0.0126,-0.1976974
0.013502213,-0.18525219
0.0126,-0.20014071
0.0126,-0.18011451
0.0126,-0.16652036
0.012665894,-0.1537106
0.0126,-0.19115472
0.0126,-0.17727351
0.0126,-0.16404295
0.0126,-0.18810344
0.0126,-0.17464995
0.0126,-0.17312717
0.0126,-0.17637134
0.0126,-0.17911434
0.012606929,-0.16444612
0.012651052,-0.16720533
0.012685028,-0.16943407
