x,y,c_abs_error_t71
1.8311099,38.687588,0.36269385
2.074575,38.61109,0.34750822
2.3180404,38.53459,0.3426468
2.5615056,38.458096,0.34294012
1.993373,38.8901,0.3299958
2.2464602,38.80496,0.32700235
2.4995472,38.719814,0.3229118
2.17488,39.07532,0.33999437
2.4375892,38.981537,0.32161278
2.3756309,39.24326,0.36342168
1.4549216,37.968254,0.4560327
1.7320184,37.959023,0.4286456
2.0091152,37.949795,0.39990252
2.286212,37.940563,0.3829462
1.5621117,38.218517,0.4674864
1.8483115,38.204044,0.3979337
2.1345112,38.18957,0.37026685
1.6875077,38.458294,0.41406354
1.9828106,38.43858,0.36531746
6.447986,38.965843,0.41818252
6.6878014,39.15118,0.37876955
6.9276166,39.336517,0.33378822
7.167432,39.521854,0.28133988
6.282333,39.28026,0.3825953
6.5301204,39.48429,0.331357
6.777908,39.68832,0.28658125
6.116679,39.59467,0.34543532
6.372439,39.817398,0.29612446
5.951026,39.909084,0.3101437
7.1331334,38.76385,0.40967143
7.450928,38.849033,0.41415232
7.768723,38.934216,0.41309464
8.086518,39.019398,0.39814413
7.144566,39.01652,0.38856953
7.462616,39.10311,0.37297153
7.7806654,39.189705,0.32321706
7.1559987,39.269188,0.3297221
7.4743032,39.357193,0.28349185
8.828586,38.68565,0.37687042
8.578567,38.79061,0.36942774
8.33121,38.90186,0.39664346
8.630538,38.502308,0.3894062
8.381851,38.610413,0.40151164
8.135827,38.724808,0.4198771
8.432491,38.318966,0.41050178
8.185135,38.430214,0.41901466
8.234444,38.135624,0.42396855
8.861869,37.984898,0.41767788
9.05914,38.085526,0.40662974
9.256412,38.186153,0.383076
9.453683,38.28678,0.36578324
8.850775,38.218483,0.40192938
9.053646,38.328793,0.37924522
9.256516,38.439106,0.3613643
8.83968,38.452065,0.3778851
9.048151,38.57206,0.3614279
3.2379718,39.719036,0.36203074
2.9353228,39.58808,0.36564
2.6478758,39.42949,0.37991977
3.2805686,39.388187,0.33300465
2.9855206,39.243416,0.31830865
2.7056746,39.071003,0.30279726
3.3231654,39.057343,0.30293325
3.0357187,38.89875,0.2928577
3.3657625,38.726494,0.32767153
4.1614065,38.9873,0.3557912
4.279971,39.32223,0.37060887
4.3985353,39.657166,0.3925517
4.5171,39.992096,0.40308112
3.8535948,39.231213,0.3388153
3.9660122,39.58669,0.37397313
4.0784297,39.942165,0.40024486
3.5457833,39.475124,0.35056078
3.6520536,39.851143,0.3813352
5.477366,39.97626,0.33817375
4.999391,40.003933,0.404056
5.7606454,39.515438,0.37642398
5.284828,39.562862,0.39715964
4.804695,39.570778,0.40474388
5.5702653,39.12179,0.42063707
5.09229,39.14946,0.4196324
5.379885,38.728146,0.439376
1.1737292,36.94111,0.54271346
1.4947075,37.00582,0.486157
1.8156857,37.070534,0.42422083
2.1366642,37.135246,0.39269117
1.2398866,37.29027,0.5457305
1.5746516,37.351593,0.46665025
1.9094166,37.412914,0.40629226
1.3336174,37.632652,0.52230024
1.6821691,37.690586,0.4437242
9.326107,37.456306,0.44822067
9.599195,37.529343,0.43660718
9.872282,37.60238,0.42410696
10.14537,37.67542,0.3928333
9.368632,37.73313,0.4277004
9.642258,37.805965,0.41227454
9.915883,37.8788,0.3998655
9.411158,38.009956,0.40073866
9.685321,38.082584,0.38523707
11.564095,36.468864,0.33768696
11.494565,36.253357,0.40165243
11.4250345,36.03785,0.44569468
11.355504,35.822342,0.47296688
11.735493,36.345623,0.34378773
11.667287,36.13195,0.41093537
11.599081,35.918278,0.45984015
11.909539,36.22605,0.361166
11.842658,36.014214,0.4268988
12.086235,36.11015,0.3891827
2.1219835,35.912125,0.45710975
1.8058988,36.25512,0.4764413
1.4898139,36.598114,0.49653062
1.7350696,35.79215,0.4910357
1.4223251,36.134678,0.5143765
1.1095805,36.47721,0.5471492
1.3481557,35.672176,0.51543355
1.0387514,36.01424,0.5440749
0.9612417,35.5522,0.5350836
9.966084,36.761005,0.47008473
10.282975,36.847897,0.44773167
10.599866,36.934788,0.4157639
10.916758,37.021683,0.36975554
10.025846,37.065807,0.4520697
10.344675,37.155262,0.41821423
10.663505,37.24472,0.37125567
10.085608,37.370613,0.42488873
10.406375,37.46263,0.37750494
10.833222,36.774853,0.41087097
10.749686,36.528023,0.44258037
10.666151,36.281197,0.46860033
11.128115,36.831535,0.35030085
11.04679,36.587643,0.4060607
10.965466,36.34375,0.44613707
11.343894,36.647263,0.33884043
11.26478,36.406307,0.40383786
12.52616,35.69359,0.37152576
12.388285,35.843197,0.37107578
12.241643,35.98205,0.39037985
12.307179,35.604115,0.38822466
12.164921,35.748344,0.40516478
12.013896,35.88182,0.41575325
12.0882,35.51464,0.4217497
11.941558,35.653492,0.43793017
11.869219,35.425167,0.43923295
2.0759482,34.463024,0.44291323
1.7043794,34.82608,0.47303563
1.3328105,35.18914,0.5073056
1.6320688,34.238457,0.4836946
1.2548895,34.602432,0.512589
0.8777102,34.966408,0.53072476
1.1881893,34.013893,0.51917034
0.8053996,34.378784,0.53011334
0.74430984,33.789326,0.523432
13.059776,35.122444,0.33317745
12.878378,35.308624,0.33639905
12.700506,35.499004,0.34260988
12.815469,35.037327,0.36555043
12.635834,35.22561,0.3680557
12.459724,35.41809,0.37542862
12.571161,34.95221,0.390195
12.39329,35.14259,0.39654046
12.326854,34.867092,0.41095838
2.166426,32.728203,0.3904735
1.6923873,33.081913,0.44293314
1.2183486,33.43562,0.4928042
1.6512784,32.432735,0.4409478
1.1706712,32.78705,0.493767
0.6900641,33.141365,0.47867513
1.1361307,32.137264,0.5265695
0.6489551,32.492188,0.4963654
0.62098294,31.841797,0.5204528
12.921279,34.1687,0.40138507
13.2176,34.242,0.38274485
13.513921,34.3153,0.36025828
13.810242,34.3886,0.3332911
12.967444,34.486618,0.3825254
13.263388,34.55922,0.3535683
13.559331,34.631824,0.3167045
13.01361,34.80453,0.36178118
13.3091755,34.87644,0.3223855
13.591622,33.38472,0.41120517
13.933412,33.445305,0.38906166
14.275202,33.50589,0.34950897
14.616991,33.56648,0.28638548
13.664495,33.719345,0.40328777
14.007419,33.781197,0.3780024
14.350342,33.843044,0.30737138
13.737369,34.053974,0.38451767
14.081426,34.117085,0.33938667
14.400628,32.71706,0.39394593
14.700843,32.77092,0.38564694
15.001058,32.824783,0.37387305
15.301272,32.878647,0.35496825
14.472749,33.0002,0.37144697
14.771416,33.052834,0.35449862
15.070083,33.10547,0.32513696
14.54487,33.283337,0.33662903
14.8419895,33.334747,0.29757953
2.199348,30.855951,0.40591076
1.6732264,31.184566,0.45808938
1.1471046,31.513182,0.5315081
1.670961,30.533825,0.48257476
1.1384655,30.86253,0.55920947
0.60597,31.191233,0.55274004
1.142574,30.211699,0.5772407
0.6037047,30.540491,0.56779164
0.6141869,29.889572,0.5848012
15.138894,32.214714,0.41610387
15.37001,32.272934,0.4062391
15.601127,32.331158,0.39312026
15.832242,32.38938,0.38533497
15.19302,32.436024,0.3973038
15.42317,32.4934,0.38374662
15.65332,32.550777,0.36793888
15.247147,32.657333,0.37711823
15.47633,32.713863,0.36086884
15.649534,31.891598,0.42666483
15.833046,31.91312,0.4235345
16.016558,31.934645,0.4136484
16.20007,31.95617,0.39982143
15.710437,32.057526,0.42005074
15.90054,32.084446,0.4116764
16.090645,32.111366,0.40847245
15.771339,32.223454,0.4003392
15.968035,32.255768,0.38496926
2.2797499,28.991318,0.4639655
1.7245623,29.290735,0.5120295
1.1693746,29.590153,0.58906406
1.7599926,28.64095,0.53171337
1.198614,28.93994,0.5986847
0.6372354,29.23893,0.6022948
1.2402353,28.290583,0.6076342
0.6726658,28.589144,0.6101709
0.72047794,27.940216,0.6117141
16.072948,31.767452,0.41344273
15.945827,31.578735,0.427871
15.818705,31.39002,0.43082687
16.312374,31.782137,0.3989075
16.185835,31.594013,0.4114051
16.059298,31.40589,0.42693385
16.425846,31.609291,0.3912661
16.29989,31.42176,0.4060646
16.540483,31.437632,0.39047235
2.4302886,27.107105,0.435587
1.8603517,27.38481,0.48984388
1.2904148,27.662512,0.5687881
1.9325256,26.73807,0.4639274
1.356562,27.014824,0.4719589
0.7805984,27.291578,0.45482734
1.4347628,26.369036,0.5067823
0.8527724,26.64484,0.45550585
0.937,26.0,0.55013645
16.958448,30.716629,0.3908155
16.825024,30.960714,0.3920415
16.685701,31.201048,0.3897226
16.665253,30.70676,0.4060328
16.52888,30.948969,0.40495923
16.386608,31.187428,0.4065851
16.372057,30.696892,0.42307335
16.232735,30.937225,0.4248766
16.078861,30.687023,0.43882006
2.6549435,25.223146,0.45190665
2.0822957,25.482098,0.4815864
1.5096478,25.741049,0.53289443
2.188097,24.841393,0.4691651
1.6106178,25.099352,0.51924366
1.0331384,25.357311,0.5481509
1.7212508,24.459639,0.5239717
1.1389399,24.716606,0.5002425
1.2544043,24.077885,0.50625193
16.421799,29.755676,0.43934786
16.779427,29.748188,0.42558187
17.137056,29.7407,0.39981744
17.494684,29.733212,0.34601954
16.600681,30.075993,0.43110555
16.956474,30.067392,0.4097998
17.312267,30.058792,0.36036405
16.779564,30.39631,0.40985307
17.133522,30.386599,0.38435894
3.0792994,20.171354,0.31676975
2.7153385,20.300205,0.33172545
2.3513775,20.429056,0.3585972
1.9874164,20.557907,0.36015272
2.8016775,19.89823,0.30611068
2.4381468,20.02715,0.3180952
2.0746162,20.156069,0.31301534
2.5240557,19.625105,0.30139786
2.1609554,19.754093,0.3085518
2.2464337,19.35198,0.30211145
2.8843775,23.369287,0.48915353
2.3410532,23.605486,0.52232313
1.7977288,23.841686,0.54146206
2.4684913,22.972748,0.51359713
1.9225723,23.208395,0.5573555
1.3766532,23.444044,0.5309364
2.0526052,22.576206,0.5105238
1.5040914,22.811304,0.52295583
1.6367188,22.179667,0.47053903
3.0128005,21.665962,0.4062705
2.5541067,21.837196,0.4308389
2.0954127,22.008432,0.44746056
2.6710057,21.29661,0.39972335
2.2118933,21.467733,0.43444198
1.7527809,21.638857,0.43652767
2.329211,20.92726,0.4070965
1.8696802,21.09827,0.4316177
