x,y,e11_abs_error_t71,e22_abs_error_t71,e12_abs_error_t71
1.8311099,38.687588,0.004457825,0.0016860482,0.0019473198
2.074575,38.61109,0.0030273502,0.002443508,0.0008595147
2.3180404,38.53459,0.001776606,0.0017069047,0.0004450354
2.5615056,38.458096,0.0009594029,0.0014757891,0.00015720818
1.993373,38.8901,0.0030267509,0.0009851349,0.0019791166
2.2464602,38.80496,0.0017231437,0.0019005677,0.00060780183
2.4995472,38.719814,0.0014621547,0.0017335615,0.00034008233
2.17488,39.07532,0.001701797,0.0020649666,0.0007491204
2.4375892,38.981537,0.0014562631,0.0019991116,0.0005449344
2.3756309,39.24326,0.0018583015,0.0017661639,0.0008693093
1.4549216,37.968254,0.005734436,0.001158952,0.0023813318
1.7320184,37.959023,0.0045298934,0.0016326448,0.0015108511
2.0091152,37.949795,0.0022692892,0.0013290495,0.0006382177
2.286212,37.940563,0.001251387,0.0010782754,0.00013609242
1.5621117,38.218517,0.0050606155,0.00209007,0.001569658
1.8483115,38.204044,0.0039420687,0.0021920083,0.00108372
2.1345112,38.18957,0.0020477364,0.0013601632,0.0005987961
1.6875077,38.458294,0.0041157044,0.0016695405,0.0017520849
1.9828106,38.43858,0.003510034,0.0024161115,0.0008805495
6.447986,38.965843,0.00028558332,0.00025376285,2.3099128e-05
6.6878014,39.15118,0.0005317994,0.00034327226,0.0005108749
6.9276166,39.336517,0.0019629754,0.00044136605,0.0018986019
7.167432,39.521854,0.002450508,0.00039077052,0.0015770998
6.282333,39.28026,0.00053742016,0.0007465539,0.00067508593
6.5301204,39.48429,0.001004982,0.0010025362,0.002201478
6.777908,39.68832,0.0010459113,0.0009801987,0.0021779991
6.116679,39.59467,9.693671e-05,0.000950288,0.0017868544
6.372439,39.817398,0.0013031577,0.0009848766,0.0022313332
5.951026,39.909084,0.0007918658,0.0011190905,0.0015288147
7.1331334,38.76385,0.0011116348,0.00023192975,0.00019928068
7.450928,38.849033,0.0012459387,0.0003683483,1.5737955e-05
7.768723,38.934216,0.0019211816,0.000514579,0.0010816937
8.086518,39.019398,0.0015470877,0.00062437163,0.00081424974
7.144566,39.01652,0.0013750193,0.0001064332,0.00035897503
7.462616,39.10311,0.0024897256,0.0003396941,0.0014590679
7.7806654,39.189705,0.001718472,0.0006101521,0.0008560105
7.1559987,39.269188,0.00251624,0.000145676,0.001801003
7.4743032,39.357193,0.0021428077,0.00014594753,0.0012614534
8.828586,38.68565,0.0009905458,0.0003593414,0.0006728582
8.578567,38.79061,0.0012871844,0.0004450986,0.00082607707
8.33121,38.90186,0.0013116219,0.0006923737,0.0006762324
8.630538,38.502308,0.0014891191,0.00025576405,0.0008110162
8.381851,38.610413,0.0013874804,0.0002552951,0.00090619875
8.135827,38.724808,0.0012791825,0.0003280956,0.00086879544
8.432491,38.318966,0.00036243722,0.00016952559,0.00020361296
8.185135,38.430214,0.00020960206,6.297667e-05,6.0688937e-05
8.234444,38.135624,6.555044e-05,8.210528e-05,0.000405584
8.861869,37.984898,0.0006367343,0.00042221503,0.00044658873
9.05914,38.085526,0.0013555232,0.00039743446,6.764801e-05
9.256412,38.186153,0.001943496,0.00042250473,0.00022424525
9.453683,38.28678,0.001783682,0.0004688537,9.067962e-05
8.850775,38.218483,0.0012473501,0.0004248627,3.3108518e-05
9.053646,38.328793,0.0019457852,0.00045172242,0.00023671985
9.256516,38.439106,0.0017692521,0.0005469832,1.1777971e-05
8.83968,38.452065,0.0014094717,0.00035162774,0.0006060139
9.048151,38.57206,0.0019502821,0.00049360434,0.00011613732
3.2379718,39.719036,0.0006101556,0.000588796,0.0015066499
2.9353228,39.58808,0.00054037594,0.0009769213,0.0012482665
2.6478758,39.42949,0.0014930957,0.0012470322,0.0013378332
3.2805686,39.388187,0.0001184094,0.0010407346,0.0007645432
2.9855206,39.243416,0.00031419838,0.0014165016,0.0005266814
2.7056746,39.071003,0.00084274076,0.0017107729,0.0004166197
3.3231654,39.057343,7.3263072e-06,0.0014009865,9.799795e-05
3.0357187,38.89875,3.352831e-05,0.0015205233,0.00013176329
3.3657625,38.726494,0.00013127062,0.0013648453,0.00037527503
4.1614065,38.9873,0.0010558378,0.0014166785,0.00022662734
4.279971,39.32223,0.001450573,0.001104237,0.00048976636
4.3985353,39.657166,0.0016797143,0.0004706493,0.0009050978
4.5171,39.992096,0.0009974315,0.00025779777,0.0010585851
3.8535948,39.231213,0.0005738777,0.0011045524,0.00031485735
3.9660122,39.58669,0.00089439296,0.0005355836,0.0012035029
4.0784297,39.942165,0.00066288793,0.00026298847,0.0014352296
3.5457833,39.475124,0.00036751246,0.0007738516,0.001041356
3.6520536,39.851143,0.0007961403,0.00040546487,0.0016356241
5.477366,39.97626,0.0005394754,0.00092669844,0.0011763382
4.999391,40.003933,0.00038765906,0.0005531267,0.00034215068
5.7606454,39.515438,0.0010951395,0.00092431786,0.0006636302
5.284828,39.562862,0.002091256,0.0010807638,0.00013054232
4.804695,39.570778,0.0021887792,0.00091848115,0.0004486395
5.5702653,39.12179,0.0021039334,0.000701012,0.00020829518
5.09229,39.14946,0.0027658683,0.0012095722,0.00028121984
5.379885,38.728146,0.0019819678,0.00039176096,0.00014473661
1.1737292,36.94111,0.007344703,0.00020190608,0.0027955554
1.4947075,37.00582,0.00603774,0.0007713589,0.0019404112
1.8156857,37.070534,0.0035006253,0.0008405517,0.0006387319
2.1366642,37.135246,0.0016802517,0.0010211286,0.00041178399
1.2398866,37.29027,0.007080418,0.0013700945,0.0018668118
1.5746516,37.351593,0.005536995,0.0011757244,0.0013417751
1.9094166,37.412914,0.0026062143,0.0012149356,4.878774e-05
1.3336174,37.632652,0.0065701846,0.001343521,0.002212897
1.6821691,37.690586,0.004837199,0.0015669859,0.0013103517
9.326107,37.456306,7.5644115e-05,6.344245e-05,0.0003669944
9.599195,37.529343,0.0008003758,0.00011122774,0.00017431332
9.872282,37.60238,0.0017011426,4.772912e-06,0.0004718057
10.14537,37.67542,0.0029138825,0.00014927366,0.00030751526
9.368632,37.73313,0.0008369596,0.00027827447,0.00039343047
9.642258,37.805965,0.0017349771,0.00010629633,0.00037714932
9.915883,37.8788,0.0016764598,0.00032102404,0.00016845111
9.411158,38.009956,0.0018358366,0.00028605736,0.000292446
9.685321,38.082584,0.001832997,0.00028033782,0.00024224352
11.564095,36.468864,0.0049330476,0.0001637541,0.0017881622
11.494565,36.253357,0.0048821755,0.00026878796,0.0015442465
11.4250345,36.03785,0.0024850545,0.00029620383,9.902986e-05
11.355504,35.822342,0.0019804481,0.00028630462,5.4906122e-06
11.735493,36.345623,0.004842604,0.00017495907,0.0017679678
11.667287,36.13195,0.0051726485,0.00035014452,0.0014937171
11.599081,35.918278,0.002774463,0.00028812268,0.00017553475
11.909539,36.22605,0.0042517795,0.0003461811,0.0013843426
11.842658,36.014214,0.004748494,0.00031499332,0.0013005696
12.086235,36.11015,0.004163331,0.00035565114,0.0013665874
2.1219835,35.912125,0.002321323,0.00030698866,0.0014013274
1.8058988,36.25512,0.0039603123,0.00028628472,0.0016680161
1.4898139,36.598114,0.006032199,0.00042940787,0.0022099349
1.7350696,35.79215,0.0037359903,0.00013019389,0.0022671185
1.4223251,36.134678,0.0054730293,0.00020899909,0.0027852634
1.1095805,36.47721,0.0071376367,0.00022373418,0.002685794
1.3481557,35.672176,0.004753642,0.00054425106,0.0030296086
1.0387514,36.01424,0.0055837217,0.0007216964,0.0032709884
0.9612417,35.5522,0.0049463883,0.0007462439,0.0031325603
9.966084,36.761005,0.00022431137,4.3680717e-05,0.00011554966
10.282975,36.847897,0.0014485917,2.2838358e-06,0.0006822315
10.599866,36.934788,0.003175924,0.00014181552,0.0012922981
10.916758,37.021683,0.0046869195,0.00020866818,0.0014761197
10.025846,37.065807,0.00091943704,7.6167635e-05,0.0005029449
10.344675,37.155262,0.0027046823,6.846222e-05,0.0010912791
10.663505,37.24472,0.004216576,0.00015380164,0.0011687228
10.085608,37.370613,0.0020245295,5.271146e-05,0.00080197025
10.406375,37.46263,0.003716058,2.0154286e-05,0.0008809883
10.833222,36.774853,0.0035378383,0.00012706243,0.0014485586
10.749686,36.528023,0.0019095247,5.1165232e-05,0.0005552345
10.666151,36.281197,0.0009002411,0.00019745994,0.00016952679
11.128115,36.831535,0.0045744237,0.00022694073,0.0014489614
